NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ID3	Id3	50	0.19756470620632172	0.014214302	No	
row_1	SLC16A2	Slc16a2	146	0.11976910382509232	-0.013327705	No	
row_2	TEX9	Tex9	150	0.11550721526145935	0.009646122	No	
row_3	ARID4A	Arid4a	179	0.10205008089542389	0.015773736	No	
row_4	TOP1	Top1	181	0.10100018233060837	0.036769517	No	
row_5	GABPB2	Gabpb2	262	0.07809026539325714	0.008717277	No	
row_6	DAXX	Daxx	322	0.062418002635240555	-0.010941227	No	
row_7	RPS6KA5	Rps6ka5	351	0.05677341669797897	-0.014476243	No	
row_8	GAPDH	Gapdh	395	0.05166184529662132	-0.027486708	No	
row_9	DCK	Dck	438	0.04659566283226013	-0.041019388	No	
row_10	SMC3	Smc3	440	0.04640107974410057	-0.031675767	No	
row_11	ASXL2	Asxl2	446	0.04590313509106636	-0.024674298	No	
row_12	LUC7L2	Luc7l2	452	0.045676086097955704	-0.017721284	No	
row_13	RFC1	Rfc1	530	0.03546226769685745	-0.05319398	No	
row_14	MYC	Myc	701	0.019008904695510864	-0.14416239	No	
row_15	MTF2	Mtf2	708	0.01852201670408249	-0.14356337	No	
row_16	CTCF	Ctcf	897	0.0033475521486252546	-0.24793561	No	
row_17	NIPBL	Nipbl	900	0.0032497160136699677	-0.24836001	No	
row_18	PIM1	Pim1	1242	-0.028347209095954895	-0.43291962	No	
row_19	YTHDC1	Ythdc1	1263	-0.030783552676439285	-0.43752944	No	
row_20	SIK2	Sik2	1268	-0.03198463097214699	-0.4329394	No	
row_21	DCLRE1A	Dclre1a	1314	-0.03611818328499794	-0.45038503	No	
row_22	PDS5A	Pds5a	1354	-0.040493667125701904	-0.46354303	No	
row_23	SERBP1	Serbp1	1384	-0.043379101902246475	-0.47049555	No	
row_24	FUS	Fus	1453	-0.05180995166301727	-0.49744868	No	
row_25	CASP8AP2	Casp8ap2	1527	-0.06313390284776688	-0.52478004	No	
row_26	ATAD2	Atad2	1567	-0.07148914784193039	-0.5313232	Yes	
row_27	JADE1	Jade1	1588	-0.07620391994714737	-0.5262397	Yes	
row_28	RPL28	Rpl28	1602	-0.07890687882900238	-0.5166666	Yes	
row_29	NSD3	Nsd3	1651	-0.08819004148244858	-0.5246763	Yes	
row_30	PCLAF	Pclaf	1652	-0.08821278810501099	-0.50585055	Yes	
row_31	SMC2	Smc2	1654	-0.08919136226177216	-0.48737493	Yes	
row_32	MCM3	Mcm3	1667	-0.09384172409772873	-0.47405553	Yes	
row_33	CBX5	Cbx5	1679	-0.09647281467914581	-0.45961568	Yes	
row_34	PLK4	Plk4	1685	-0.09850358963012695	-0.44138858	Yes	
row_35	MCM6	Mcm6	1686	-0.09945669025182724	-0.42016324	Yes	
row_36	STMN1	Stmn1	1698	-0.10521647334098816	-0.40385735	Yes	
row_37	MAT2A	Mat2a	1727	-0.11808580160140991	-0.39430752	Yes	
row_38	EZH2	Ezh2	1733	-0.11966704577207565	-0.37156385	Yes	
row_39	POLA1	Pola1	1736	-0.12234505265951157	-0.34657177	Yes	
row_40	HNRNPA1	Hnrnpa1	1738	-0.12445516884326935	-0.3205704	Yes	
row_41	CDCA7	Cdca7	1753	-0.13174042105674744	-0.30028087	Yes	
row_42	SRSF2	Srsf2	1756	-0.13299895823001862	-0.2730151	Yes	
row_43	SMC1A	Smc1a	1771	-0.1445993185043335	-0.24998134	Yes	
row_44	LIG1	Lig1	1783	-0.15596722066402435	-0.2228446	Yes	
row_45	LGALS1	Lgals1	1803	-0.18351128697395325	-0.19430135	Yes	
row_46	AUTS2	Auts2	1816	-0.20592331886291504	-0.1570623	Yes	
row_47	EIF5A	Eif5a	1820	-0.2138914316892624	-0.113092005	Yes	
row_48	RPS20	Rps20	1826	-0.23914656043052673	-0.064849876	Yes	
row_49	PTMA	Ptma	1836	-0.3326813876628876	0.0011179181	Yes	
