NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ID3	Id3	50	0.19756470620632172	0.025833853	No	
row_1	ARID4A	Arid4a	179	0.10205008089542389	-0.017869942	No	
row_2	TMEM108	Tmem108	200	0.09525644779205322	-0.0031205686	No	
row_3	OTUD7B	Otud7b	324	0.0622672401368618	-0.0548563	No	
row_4	RPS6KA5	Rps6ka5	351	0.05677341669797897	-0.05392705	No	
row_5	GAPDH	Gapdh	395	0.05166184529662132	-0.0638804	No	
row_6	DCK	Dck	438	0.04659566283226013	-0.07465375	No	
row_7	SMC3	Smc3	440	0.04640107974410057	-0.062587805	No	
row_8	ASXL2	Asxl2	446	0.04590313509106636	-0.052890725	No	
row_9	LUC7L3	Luc7l3	674	0.022673798725008965	-0.17346673	No	
row_10	APPL1	Appl1	696	0.020205939188599586	-0.17969461	No	
row_11	MTF2	Mtf2	708	0.01852201670408249	-0.18079716	No	
row_12	CTCF	Ctcf	897	0.0033475521486252546	-0.2848557	No	
row_13	NIPBL	Nipbl	900	0.0032497160136699677	-0.28508824	No	
row_14	GEN1	Gen1	911	0.0015262417728081346	-0.29025647	No	
row_15	CCNT1	Ccnt1	915	0.0011533170472830534	-0.29161772	No	
row_16	PBRM1	Pbrm1	1020	-0.00823324453085661	-0.34744582	No	
row_17	KBTBD7	Kbtbd7	1098	-0.014749955385923386	-0.38642555	No	
row_18	PRRC2C	Prrc2c	1144	-0.019085606560111046	-0.4063586	No	
row_19	TRMT6	Trmt6	1237	-0.02775442786514759	-0.4501754	No	
row_20	PIM1	Pim1	1242	-0.028347209095954895	-0.44469643	No	
row_21	YTHDC1	Ythdc1	1263	-0.030783552676439285	-0.4474881	No	
row_22	SIK2	Sik2	1268	-0.03198463097214699	-0.44101948	No	
row_23	PRPF4B	Prpf4b	1421	-0.04693863168358803	-0.51311773	No	
row_24	CASP8AP2	Casp8ap2	1527	-0.06313390284776688	-0.5545674	Yes	
row_25	HNRNPR	Hnrnpr	1531	-0.06391225010156631	-0.5388539	Yes	
row_26	ATAD2	Atad2	1567	-0.07148914784193039	-0.5389461	Yes	
row_27	JADE1	Jade1	1588	-0.07620391994714737	-0.5293803	Yes	
row_28	RRM2	Rrm2	1620	-0.08208263665437698	-0.52435696	Yes	
row_29	NSD3	Nsd3	1651	-0.08819004148244858	-0.5171136	Yes	
row_30	PCLAF	Pclaf	1652	-0.08821278810501099	-0.49311364	Yes	
row_31	MCM3	Mcm3	1667	-0.09384172409772873	-0.47539908	Yes	
row_32	CBX5	Cbx5	1679	-0.09647281467914581	-0.45529366	Yes	
row_33	MCM6	Mcm6	1686	-0.09945669025182724	-0.43158466	Yes	
row_34	STMN1	Stmn1	1698	-0.10521647334098816	-0.40910035	Yes	
row_35	SMC6	Smc6	1705	-0.10751696676015854	-0.3831984	Yes	
row_36	EMSY	Emsy	1717	-0.11377525329589844	-0.3583855	Yes	
row_37	NOLC1	Nolc1	1718	-0.11386838555335999	-0.32740545	Yes	
row_38	EZH2	Ezh2	1733	-0.11966704577207565	-0.30266464	Yes	
row_39	POLA1	Pola1	1736	-0.12234505265951157	-0.27049506	Yes	
row_40	HNRNPA1	Hnrnpa1	1738	-0.12445516884326935	-0.23719302	Yes	
row_41	ATAD5	Atad5	1748	-0.1294972151517868	-0.20698598	Yes	
row_42	CDCA7	Cdca7	1753	-0.13174042105674744	-0.17337689	Yes	
row_43	SRSF2	Srsf2	1756	-0.13299895823001862	-0.1383087	Yes	
row_44	SMC1A	Smc1a	1771	-0.1445993185043335	-0.10678458	Yes	
row_45	SLCO3A1	Slco3a1	1793	-0.16775821149349213	-0.07286808	Yes	
row_46	CDK1	Cdk1	1798	-0.17727868258953094	-0.026869448	Yes	
row_47	NCL	Ncl	1801	-0.1787964403629303	0.020658813	Yes	
