NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FYN	Fyn	27	0.24973702430725098	0.117290184	Yes	
row_1	IKZF3	Ikzf3	55	0.19227877259254456	0.20416088	Yes	
row_2	SYTL2	Sytl2	57	0.1866556704044342	0.30242717	Yes	
row_3	ZEB2	Zeb2	91	0.1553114354610443	0.36640993	Yes	
row_4	IKZF2	Ikzf2	96	0.15104977786540985	0.4441674	Yes	
row_5	ARID4A	Arid4a	179	0.10205008089542389	0.45286575	Yes	
row_6	CRIM1	Crim1	197	0.0960671678185463	0.49432808	Yes	
row_7	RORA	Rora	248	0.08192775398492813	0.51006263	Yes	
row_8	KMT2E	Kmt2e	285	0.07034813612699509	0.5274058	Yes	
row_9	ID2	Id2	293	0.06830493360757828	0.55969816	Yes	
row_10	SLC39A8	Slc39a8	310	0.06443703174591064	0.58496773	Yes	
row_11	EGR2	Egr2	570	0.0321122407913208	0.45879555	No	
row_12	ARHGEF12	Arhgef12	571	0.032051410526037216	0.4757642	No	
row_13	NR4A1	Nr4a1	596	0.029728371649980545	0.47823596	No	
row_14	IER3	Ier3	609	0.028290247544646263	0.48657984	No	
row_15	ANKRD11	Ankrd11	735	0.01666630245745182	0.42630437	No	
row_16	JUNB	Junb	891	0.0035989212337881327	0.342527	No	
row_17	FRMD4A	Frmd4a	922	4.2716527241282165E-4	0.3261694	No	
row_18	PIK3C2A	Pik3c2a	944	-0.001464269938878715	0.315336	No	
row_19	PARP8	Parp8	999	-0.006718144752085209	0.28904197	No	
row_20	CITED2	Cited2	1010	-0.007675109431147575	0.2875774	No	
row_21	SGK1	Sgk1	1026	-0.008585173636674881	0.28383067	No	
row_22	CSAD	Csad	1058	-0.011432700790464878	0.27274683	No	
row_23	TOB1	Tob1	1208	-0.025170039385557175	0.20370638	No	
row_24	CAST	Cast	1249	-0.028979407623410225	0.19693698	No	
row_25	PLAG1	Plag1	1256	-0.030117793008685112	0.20956516	No	
row_26	BCL11B	Bcl11b	1274	-0.03242335841059685	0.21733326	No	
row_27	NFIX	Nfix	1373	-0.04232509806752205	0.18556741	No	
row_28	RPS6KB1	Rps6kb1	1374	-0.04234258085489273	0.20798437	No	
row_29	RALGPS2	Ralgps2	1659	-0.09058625251054764	0.09894966	No	
