NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDRG1	Ndrg1	74	0.17329852283000946	0.027475279	Yes	
row_1	IKZF2	Ikzf2	96	0.15104977786540985	0.07571105	Yes	
row_2	PRKCH	Prkch	121	0.13528020679950714	0.11601185	Yes	
row_3	SELENOP	Selenop	132	0.12733367085456848	0.16097504	Yes	
row_4	KLHL24	Klhl24	152	0.114337258040905	0.19575402	Yes	
row_5	MBNL1	Mbnl1	178	0.1021491214632988	0.22234468	Yes	
row_6	ARID4A	Arid4a	179	0.10205008089542389	0.2628547	Yes	
row_7	RASGEF1B	Rasgef1b	183	0.09987186640501022	0.30082503	Yes	
row_8	SERINC3	Serinc3	217	0.08897785097360611	0.3177204	Yes	
row_9	RORA	Rora	248	0.08192775398492813	0.33349222	Yes	
row_10	CREBRF	Crebrf	265	0.07729747146368027	0.35524285	Yes	
row_11	KMT2E	Kmt2e	285	0.07034813612699509	0.37255982	Yes	
row_12	ID2	Id2	293	0.06830493360757828	0.39576587	Yes	
row_13	GPR174	Gpr174	296	0.06625722348690033	0.42095077	Yes	
row_14	IL6ST	Il6st	316	0.06314880400896072	0.43540987	Yes	
row_15	OTUD7B	Otud7b	324	0.0622672401368618	0.4562192	Yes	
row_16	BRAF	Braf	350	0.056777507066726685	0.46479905	Yes	
row_17	ATXN1	Atxn1	439	0.0464186854660511	0.43409094	No	
row_18	STK3	Stk3	443	0.046280261129140854	0.45078743	No	
row_19	HIPK1	Hipk1	519	0.03631191700696945	0.42332584	No	
row_20	HOXB4	Hoxb4	535	0.034773509949445724	0.4287544	No	
row_21	PITPNC1	Pitpnc1	548	0.03387340530753136	0.43550068	No	
row_22	CD2AP	Cd2ap	586	0.030750790610909462	0.42704874	No	
row_23	PLEKHA5	Plekha5	654	0.023818889632821083	0.39909467	No	
row_24	UHRF2	Uhrf2	763	0.014378132298588753	0.34450075	No	
row_25	PDE7A	Pde7a	817	0.009612268768250942	0.31872407	No	
row_26	TPP2	Tpp2	825	0.008739164099097252	0.31828475	No	
row_27	RABGAP1L	Rabgap1l	871	0.004673013463616371	0.2950141	No	
row_28	NIPBL	Nipbl	900	0.0032497160136699677	0.2806704	No	
row_29	EXT1	Ext1	920	6.33992487564683E-4	0.27031347	No	
row_30	MBNL2	Mbnl2	926	9.38601660891436E-5	0.26755902	No	
row_31	PIK3C2A	Pik3c2a	944	-0.001464269938878715	0.25864837	No	
row_32	PRDM1	Prdm1	973	-0.004997910000383854	0.24499862	No	
row_33	CHD2	Chd2	977	-0.005226718727499247	0.24539839	No	
row_34	PHLPP1	Phlpp1	993	-0.006214745808392763	0.2394902	No	
row_35	THRA	Thra	1005	-0.007321881130337715	0.23625489	No	
row_36	CITED2	Cited2	1010	-0.007675109431147575	0.23706824	No	
row_37	TOB1	Tob1	1208	-0.025170039385557175	0.13706538	No	
row_38	CEP83	Cep83	1233	-0.027430638670921326	0.13455397	No	
row_39	CXXC5	Cxxc5	1244	-0.028477413579821587	0.14027496	No	
row_40	PLAG1	Plag1	1256	-0.030117793008685112	0.14608876	No	
row_41	BCL11B	Bcl11b	1274	-0.03242335841059685	0.1494677	No	
row_42	NFIX	Nfix	1373	-0.04232509806752205	0.11155114	No	
row_43	PCF11	Pcf11	1489	-0.057162877172231674	0.070032716	No	
row_44	KLF3	Klf3	1498	-0.05851332098245621	0.088793516	No	
row_45	TXNIP	Txnip	1554	-0.06809194386005402	0.085114345	No	
row_46	FBXL22	Fbxl22	1640	-0.08551418036222458	0.071600735	No	
row_47	NNT	Nnt	1681	-0.09671951085329056	0.08766084	No	
