NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SH2D1A	Sh2d1a	4	0.36161643266677856	0.30020726	Yes	
row_1	C1orf21	1700025G04Rik	90	0.15592080354690552	0.3839193	Yes	
row_2	MBNL1	Mbnl1	178	0.1021491214632988	0.42156616	Yes	
row_3	JMJD1C	Jmjd1c	216	0.089398592710495	0.47600776	Yes	
row_4	JARID2	Jarid2	258	0.07997994869947433	0.5203763	Yes	
row_5	LMNA	Lmna	306	0.06515341252088547	0.5490513	Yes	
row_6	NFYB	Nfyb	355	0.056082818657159805	0.5695917	Yes	
row_7	LUC7L3	Luc7l3	674	0.022673798725008965	0.4139235	No	
row_8	MAML3	Maml3	746	0.015886154025793076	0.38821882	No	
row_9	BAZ1A	Baz1a	809	0.0103638656437397	0.36283842	No	
row_10	FLI1	Fli1	883	0.003889508778229356	0.3260032	No	
row_11	SLC5A3	Slc5a3	956	-0.00279332441277802	0.28880042	No	
row_12	SOX4	Sox4	1085	-0.013578380458056927	0.22986436	No	
row_13	CHD6	Chd6	1088	-0.01393837295472622	0.2404221	No	
row_14	POU2AF1	Pou2af1	1188	-0.023404665291309357	0.20562866	No	
row_15	ZBTB20	Zbtb20	1199	-0.024362092837691307	0.22051011	No	
row_16	UBALD2	Ubald2	1446	-0.05075785145163536	0.12786604	No	
row_17	XKRX	Xkrx	1696	-0.10385718196630478	0.07797918	No	
