NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XCL1	Xcl1	11	0.32624733448028564	0.020074239	Yes	
row_1	HCST	Hcst	28	0.24920830130577087	0.030861527	Yes	
row_2	KLRC1	Klrc1	31	0.23775310814380646	0.049091045	Yes	
row_3	PTPRCAP	Ptprcap	42	0.2154495120048523	0.060710624	Yes	
row_4	ACTB	Actb	45	0.2099303901195526	0.076666795	Yes	
row_5	CD6	Cd6	48	0.20340071618556976	0.09208944	Yes	
row_6	ID3	Id3	50	0.19756470620632172	0.10763368	Yes	
row_7	ARHGDIB	Arhgdib	51	0.19685015082359314	0.12371797	Yes	
row_8	KLRG1	Klrg1	52	0.19422948360443115	0.13958813	Yes	
row_9	SH2D2A	Sh2d2a	60	0.18383300304412842	0.15041971	Yes	
row_10	SRGN	Srgn	78	0.16945281624794006	0.15409188	Yes	
row_11	CD5	Cd5	79	0.1689346432685852	0.16789524	Yes	
row_12	LTB	Ltb	82	0.16702528297901154	0.18034571	Yes	
row_13	OSBPL3	Osbpl3	85	0.1615462303161621	0.1923485	Yes	
row_14	ZEB2	Zeb2	91	0.1553114354610443	0.20204651	Yes	
row_15	ITGB1	Itgb1	94	0.15416833758354187	0.21344645	Yes	
row_16	IKZF2	Ikzf2	96	0.15104977786540985	0.22519004	Yes	
row_17	PRF1	Prf1	102	0.14850397408008575	0.23433183	Yes	
row_18	PTPRC	Ptprc	103	0.14688009023666382	0.24633315	Yes	
row_19	LIMD2	Limd2	104	0.145901620388031	0.25825453	Yes	
row_20	PRKCH	Prkch	121	0.13528020679950714	0.25973296	Yes	
row_21	JAML	Jaml	126	0.1296178549528122	0.26793003	Yes	
row_22	PTPN6	Ptpn6	128	0.12868139147758484	0.27784592	Yes	
row_23	CNN2	Cnn2	134	0.12529540061950684	0.28509137	Yes	
row_24	CXCR3	Cxcr3	143	0.12085402756929398	0.2901786	Yes	
row_25	CNRIP1	Cnrip1	160	0.11158449202775955	0.2897209	Yes	
row_26	GPR18	Gpr18	164	0.10920783132314682	0.29684874	Yes	
row_27	COL6A3	Col6a3	173	0.10375795513391495	0.30053908	Yes	
row_28	MBNL1	Mbnl1	178	0.1021491214632988	0.30649173	Yes	
row_29	NCALD	Ncald	182	0.10011201351881027	0.3128764	Yes	
row_30	DGKH	Dgkh	189	0.09784103184938431	0.31728014	Yes	
row_31	LCP1	Lcp1	203	0.09450867772102356	0.31722254	Yes	
