NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ID3	Id3	50	0.19756470620632172	0.04034613	No	
row_1	TMEM108	Tmem108	200	0.09525644779205322	-0.009354973	No	
row_2	DCK	Dck	438	0.04659566283226013	-0.12453894	No	
row_3	SMC3	Smc3	440	0.04640107974410057	-0.109114386	No	
row_4	ASXL2	Asxl2	446	0.04590313509106636	-0.09607614	No	
row_5	LUC7L3	Luc7l3	674	0.022673798725008965	-0.21396053	No	
row_6	MYC	Myc	701	0.019008904695510864	-0.22181125	No	
row_7	MTF2	Mtf2	708	0.01852201670408249	-0.21875544	No	
row_8	NIPBL	Nipbl	900	0.0032497160136699677	-0.32339498	No	
row_9	GEN1	Gen1	911	0.0015262417728081346	-0.3284065	No	
row_10	KBTBD7	Kbtbd7	1098	-0.014749955385923386	-0.4263174	No	
row_11	MSH5	Msh5	1158	-0.020913496613502502	-0.45178467	No	
row_12	PIM1	Pim1	1242	-0.028347209095954895	-0.4879812	No	
row_13	ZCWPW1	Zcwpw1	1394	-0.04406146705150604	-0.5564188	No	
row_14	PRPF4B	Prpf4b	1421	-0.04693863168358803	-0.55465186	No	
row_15	CASP8AP2	Casp8ap2	1527	-0.06313390284776688	-0.59105116	Yes	
row_16	HNRNPR	Hnrnpr	1531	-0.06391225010156631	-0.57070404	Yes	
row_17	ATAD2	Atad2	1567	-0.07148914784193039	-0.5654665	Yes	
row_18	JADE1	Jade1	1588	-0.07620391994714737	-0.5502998	Yes	
row_19	RRM2	Rrm2	1620	-0.08208263665437698	-0.5391996	Yes	
row_20	PCLAF	Pclaf	1652	-0.08821278810501099	-0.5259884	Yes	
row_21	MCM3	Mcm3	1667	-0.09384172409772873	-0.50142586	Yes	
row_22	MCM6	Mcm6	1686	-0.09945669025182724	-0.4771446	Yes	
row_23	SMC6	Smc6	1705	-0.10751696676015854	-0.4500878	Yes	
row_24	EMSY	Emsy	1717	-0.11377525329589844	-0.41699997	Yes	
row_25	NOLC1	Nolc1	1718	-0.11386838555335999	-0.37778926	Yes	
row_26	POLA1	Pola1	1736	-0.12234505265951157	-0.34507266	Yes	
row_27	ATAD5	Atad5	1748	-0.1294972151517868	-0.30657098	Yes	
row_28	CDCA7	Cdca7	1753	-0.13174042105674744	-0.26342085	Yes	
row_29	SMC1A	Smc1a	1771	-0.1445993185043335	-0.22304097	Yes	
row_30	NCL	Ncl	1801	-0.1787964403629303	-0.17752981	Yes	
row_31	RPS20	Rps20	1826	-0.23914656043052673	-0.10846846	Yes	
row_32	PTMA	Ptma	1836	-0.3326813876628876	0.0011073533	Yes	
