NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JAK1	Jak1	3	0.3247438371181488	0.23089656	Yes	
row_1	PTPN6	Ptpn6	67	0.15403304994106293	0.30665648	Yes	
row_2	IKZF3	Ikzf3	122	0.09144359081983566	0.34253177	Yes	
row_3	FAS	Fas	130	0.0865669772028923	0.4006826	Yes	
row_4	IL2RB	Il2rb	146	0.08085942268371582	0.45036042	Yes	
row_5	MYC	Myc	324	0.036377351731061935	0.37936988	No	
row_6	FASLG	Fasl	347	0.03288247436285019	0.39085484	No	
row_7	CBL	Cbl	497	0.01430210005491972	0.31940764	No	
row_8	FOS	Fos	1047	-0.0315246619284153	0.040994845	No	
row_9	RPS6KB1	Rps6kb1	1254	-0.05063541233539581	-0.035684943	No	
row_10	PIK3CA	Pik3ca	1261	-0.051068015396595	-0.0024058314	No	
row_11	BCL2	Bcl2	1608	-0.09541616588830948	-0.12377358	No	
row_12	SOCS3	Socs3	1677	-0.11080487072467804	-0.081709564	No	
row_13	SOCS1	Socs1	1691	-0.11514008045196533	-0.006387698	No	
row_14	CFLAR	Cflar	1709	-0.1207013800740242	0.0707235	No	
