NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MFSD6	Mfsd6	152	0.07778303325176239	-0.02812851	No	
row_1	NCF2	Ncf2	508	0.01289517804980278	-0.21360363	No	
row_2	FCER1G	Fcer1g	682	-0.0033066733740270138	-0.3061033	No	
row_3	PSME1	Psme1	869	-0.018822303041815758	-0.39471826	No	
row_4	NCF1	Ncf1	1226	-0.0479205958545208	-0.5558831	No	
row_5	PSMB10	Psmb10	1451	-0.07217001914978027	-0.627469	Yes	
row_6	TAP1	Tap1	1538	-0.08533468842506409	-0.61405367	Yes	
row_7	CYBA	Cyba	1558	-0.08864650875329971	-0.5615554	Yes	
row_8	CALR	Calr	1602	-0.09443475306034088	-0.51810694	Yes	
row_9	PSME2	Psme2	1617	-0.09701362252235413	-0.45692906	Yes	
row_10	PSMB9	Psmb9	1712	-0.12121158093214035	-0.42243683	Yes	
row_11	TAPBP	Tapbp	1754	-0.13893428444862366	-0.3463093	Yes	
row_12	PSMB8	Psmb8	1787	-0.1582619994878769	-0.25153014	Yes	
row_13	HLA-A	H2-D1	1813	-0.18797819316387177	-0.13182284	Yes	
row_14	HLA-E	H2-T23	1824	-0.204276442527771	0.0076754973	Yes	
