NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCR5	Ccr5	2	0.33499446511268616	0.15562946	Yes	
row_1	XCL1	Xcl1	9	0.2705119550228119	0.27889007	Yes	
row_2	CALM3	Calm2	13	0.2538653612136841	0.39601263	Yes	
row_3	UBASH3B	Ubash3b	53	0.17144091427326202	0.45477036	Yes	
row_4	FYN	Fyn	66	0.15701131522655487	0.52162856	Yes	
row_5	PTPN6	Ptpn6	67	0.15403304994106293	0.59369403	Yes	
row_6	PTPRC	Ptprc	200	0.06255877017974854	0.5503554	No	
row_7	FASLG	Fasl	347	0.03288247436285019	0.4854316	No	
row_8	CCL3	Ccl3	536	0.009737765416502953	0.38657716	No	
row_9	ATP2B1	Atp2b1	586	0.004867198411375284	0.3619016	No	
row_10	PML	Pml	824	-0.01561275776475668	0.23884313	No	
row_11	THY1	Thy1	916	-0.02168836072087288	0.19893518	No	
row_12	CALM1	Calm1	949	-0.024458788335323334	0.19277664	No	
row_13	TRPM1	Trpm1	1005	-0.027901582419872284	0.17557757	No	
row_14	IBTK	Ibtk	1108	-0.036858078092336655	0.13671628	No	
row_15	ATP2B4	Atp2b4	1238	-0.049256712198257446	0.08880428	No	
row_16	CAMK2D	Camk2d	1438	-0.06969250738620758	0.011949474	No	
row_17	MCUB	Mcub	1482	-0.07709620147943497	0.02436712	No	
row_18	BCL2	Bcl2	1608	-0.09541616588830948	2.51382E-4	No	
row_19	ITPR2	Itpr2	1679	-0.11091958731412888	0.013642055	No	
row_20	CCR7	Ccr7	1783	-0.15660057961940765	0.030253097	No	
