NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JAK1	Jak1	3	0.3247438371181488	0.1358386	Yes	
row_1	ACTG1	Actg1	10	0.2691012918949127	0.24647357	Yes	
row_2	PLEK	Plek	20	0.22111453115940094	0.33514607	Yes	
row_3	GNAS	Gnas	26	0.20340104401111603	0.4185147	Yes	
row_4	ACTB	Actb	41	0.18240998685359955	0.4880568	Yes	
row_5	TSPAN32	Tspan32	47	0.17627425491809845	0.55994093	Yes	
row_6	UBASH3B	Ubash3b	53	0.17144091427326202	0.62977874	Yes	
row_7	PTPN6	Ptpn6	67	0.15403304994106293	0.6878559	Yes	
row_8	RAP2B	Rap2b	291	0.04056761413812637	0.58263785	No	
row_9	TLN1	Tln1	364	0.030862167477607727	0.5561868	No	
row_10	FLNA	Flna	420	0.0239020437002182	0.53611946	No	
row_11	MYH9	Myh9	871	-0.01904963329434395	0.29720306	No	
row_12	ZNF703	Zfp703	1070	-0.033207301050424576	0.20259008	No	
row_13	PRKCA	Prkca	1504	-0.07997304946184158	-0.0012030744	No	
row_14	CD9	Cd9	1632	-0.10010258853435516	-0.028526774	No	
row_15	LGALS1	Lgals1	1770	-0.14935307204723358	-0.040488023	No	
row_16	CCL5	Ccl5	1808	-0.18249179422855377	0.016465243	No	
