NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PKP4	Pkp4	129	0.08826208859682083	-0.04800321	No	
row_1	CNOT6L	Cnot6l	134	0.08554571866989136	-0.026611065	No	
row_2	EP300	Ep300	189	0.06600392609834671	-0.038676802	No	
row_3	RPL23	Rpl23	314	0.03751913085579872	-0.09789477	No	
row_4	STXBP4	Stxbp4	337	0.03450452908873558	-0.10070664	No	
row_5	ARID3A	Arid3a	361	0.031177349388599396	-0.10499898	No	
row_6	SFPQ	Sfpq	403	0.025815196335315704	-0.12087394	No	
row_7	CSPP1	Cspp1	409	0.02531297691166401	-0.116685644	No	
row_8	CXCR5	Cxcr5	486	0.015545480884611607	-0.15503904	No	
row_9	KMT2E	Kmt2e	572	0.006077223923057318	-0.20105909	No	
row_10	ANKRD17	Ankrd17	619	0.00260739354416728	-0.22615235	No	
row_11	PHIP	Phip	648	-7.625482394360006E-4	-0.24165432	No	
row_12	UHRF2	Uhrf2	681	-0.003228741930797696	-0.25871956	No	
row_13	RACGAP1	Racgap1	693	-0.004059126600623131	-0.26377085	No	
row_14	PKN2	Pkn2	718	-0.006244095973670483	-0.27551356	No	
row_15	CD28	Cd28	769	-0.009838082827627659	-0.3008536	No	
row_16	PLK3	Plk3	772	-0.01030708011239767	-0.29912803	No	
row_17	PML	Pml	824	-0.01561275776475668	-0.32343367	No	
row_18	CDC14B	Cdc14b	828	-0.01584577187895775	-0.32073888	No	
row_19	CDK5R1	Cdk5r1	883	-0.019553184509277344	-0.34563923	No	
row_20	SOX4	Sox4	919	-0.02178734540939331	-0.3592601	No	
row_21	NPM1	Npm1	1025	-0.029575416818261147	-0.4100108	No	
row_22	SVIL	Svil	1073	-0.03336840495467186	-0.42716578	No	
row_23	EGF	Egf	1076	-0.03367144986987114	-0.41898447	No	
row_24	CCND3	Ccnd3	1079	-0.03401808440685272	-0.41070738	No	
row_25	SMC5	Smc5	1115	-0.03767036646604538	-0.4199397	No	
row_26	MYBBP1A	Mybbp1a	1147	-0.04018823802471161	-0.42623162	No	
row_27	CDKN1B	Cdkn1b	1173	-0.04317750409245491	-0.42833057	No	
row_28	NIPBL	Nipbl	1187	-0.04439590498805046	-0.4233589	No	
row_29	PLSCR1	Plscr1	1217	-0.04745608568191528	-0.42652032	No	
row_30	TPR	Tpr	1232	-0.04864666610956192	-0.4209353	No	
row_31	GEN1	Gen1	1250	-0.050302792340517044	-0.41657618	No	
row_32	AURKA	Aurka	1253	-0.05057625472545624	-0.40372396	No	
row_33	PCBP4	Pcbp4	1285	-0.05396158620715141	-0.4062102	No	
row_34	WNT4	Wnt4	1420	-0.06835321336984634	-0.4625202	Yes	
row_35	BTG2	Btg2	1456	-0.07310706377029419	-0.46196112	Yes	
row_36	KIF23	Kif23	1468	-0.07564869523048401	-0.44723177	Yes	
row_37	CEP295	Cep295	1473	-0.07602797448635101	-0.42846945	Yes	
row_38	BRCA1	Brca1	1486	-0.07759741693735123	-0.41376278	Yes	
row_39	CDC25B	Cdc25b	1519	-0.08205763250589371	-0.4090471	Yes	
row_40	ROCK2	Rock2	1530	-0.08357544988393784	-0.39156637	Yes	
row_41	GADD45A	Gadd45a	1537	-0.08521945029497147	-0.3713867	Yes	
row_42	ECT2	Ect2	1544	-0.08581280708312988	-0.3510431	Yes	
row_43	ATRX	Atrx	1546	-0.08613325655460358	-0.3278051	Yes	
row_44	KIF20B	Kif20b	1559	-0.0886993482708931	-0.31003094	Yes	
row_45	DBF4	Dbf4	1581	-0.09055541455745697	-0.2967944	Yes	
row_46	CRLF3	Crlf3	1614	-0.09643495082855225	-0.2881062	Yes	
row_47	ATAD5	Atad5	1692	-0.1151510626077652	-0.29949912	Yes	
row_48	DTL	Dtl	1715	-0.12254170328378677	-0.27798575	Yes	
row_49	PLK4	Plk4	1719	-0.12365725636482239	-0.24550198	Yes	
row_50	ID2	Id2	1750	-0.13673196732997894	-0.22455712	Yes	
row_51	NDC80	Ndc80	1751	-0.13706283271312714	-0.1866858	Yes	
row_52	CCND2	Ccnd2	1753	-0.1381314992904663	-0.14908037	Yes	
row_53	EZH2	Ezh2	1780	-0.15542131662368774	-0.12072684	Yes	
row_54	CCNB1	Ccnb1	1799	-0.1683269888162613	-0.08431805	Yes	
row_55	CDK1	Cdk1	1809	-0.18272265791893005	-0.038881145	Yes	
row_56	RGCC	Rgcc	1821	-0.19758445024490356	0.0095398305	Yes	
