NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JAK1	Jak1	3	0.3247438371181488	0.29110235	Yes	
row_1	ACTG1	Actg1	10	0.2691012918949127	0.5303998	Yes	
row_2	ACTB	Actb	41	0.18240998685359955	0.6783897	Yes	
row_3	NPTN	Nptn	396	0.026366475969552994	0.50807935	No	
row_4	FLNA	Flna	420	0.0239020437002182	0.5170167	No	
row_5	HEG1	Heg1	522	0.01160166971385479	0.47210246	No	
row_6	KIF3A	Kif3a	548	0.008921386674046516	0.46643868	No	
row_7	DLG4	Dlg4	576	0.005583205725997686	0.45666915	No	
row_8	KIF5C	Kif5c	673	-0.002756456146016717	0.40652245	No	
row_9	DAG1	Dag1	704	-0.00510537950322032	0.39467743	No	
row_10	ARHGEF18	Arhgef18	1037	-0.030817512422800064	0.24044096	No	
row_11	TYROBP	Tyrobp	1136	-0.03936723619699478	0.2222013	No	
row_12	ZDHHC2	Zdhhc2	1247	-0.050230514258146286	0.20717563	No	
row_13	BSN	Bsn	1342	-0.05997936427593231	0.20971018	No	
row_14	PECAM1	Pecam1	1421	-0.06841204315423965	0.22861847	No	
