NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZFP36	Zfp36	111	0.09575556218624115	-0.0313711	No	
row_1	F2RL1	F2rl1	197	0.0633266270160675	-0.05856493	No	
row_2	ZNF502	Zfp72	357	0.03224907070398331	-0.13677032	No	
row_3	PABPC1	Pabpc1	422	0.02366204373538494	-0.16486217	No	
row_4	RNASEL	Rnasel	512	0.012241804972290993	-0.21047972	No	
row_5	GSN	Gsn	603	0.0035862945951521397	-0.25939813	No	
row_6	CXCR4	Cxcr4	633	0.0013894559815526009	-0.27508655	No	
row_7	DYNLT1	Dynlt1b	658	-0.0015929030487313867	-0.28792962	No	
row_8	ZC3HAV1	Zc3hav1	663	-0.001952711259946227	-0.2895351	No	
row_9	LARP7	Larp7	697	-0.004424376878887415	-0.30648586	No	
row_10	TRIM5	Trim12c	712	-0.005489062983542681	-0.3125317	No	
row_11	PKN2	Pkn2	718	-0.006244095973670483	-0.31333256	No	
row_12	CD28	Cd28	769	-0.009838082827627659	-0.33802158	No	
row_13	PML	Pml	824	-0.01561275776475668	-0.36310413	No	
row_14	OAS1	Oas1a	965	-0.025052033364772797	-0.4330244	No	
row_15	SLPI	Slpi	977	-0.025978947058320045	-0.43090436	No	
row_16	CCNT1	Ccnt1	983	-0.026428094133734703	-0.42530486	No	
row_17	RSF1	Rsf1	1087	-0.03491643816232681	-0.4715187	No	
row_18	OASL	Oasl1	1090	-0.03535730019211769	-0.46141922	No	
row_19	PLSCR1	Plscr1	1217	-0.04745608568191528	-0.51644874	No	
row_20	MPHOSPH8	Mphosph8	1286	-0.0541493222117424	-0.53709775	No	
row_21	TOP2B	Top2b	1517	-0.081558957695961	-0.63915527	Yes	
row_22	OAS3	Oas3	1532	-0.08407538384199142	-0.6202813	Yes	
row_23	IFIT1	Ifit1bl1	1550	-0.08715087920427322	-0.6021007	Yes	
row_24	MDFIC	Mdfic	1579	-0.09041951596736908	-0.5890014	Yes	
row_25	TNF	Tnf	1589	-0.09243222326040268	-0.56469667	Yes	
row_26	BCL2	Bcl2	1608	-0.09541616588830948	-0.54445124	Yes	
row_27	IFI16	Ifi203	1657	-0.10485174506902695	-0.537899	Yes	
row_28	EIF2AK2	Eif2ak2	1684	-0.11255605518817902	-0.5166679	Yes	
row_29	LARP1	Larp1	1706	-0.1202327162027359	-0.49022168	Yes	
row_30	VPS37B	Vps37b	1724	-0.1267712414264679	-0.45947737	Yes	
row_31	LY6E	Ly6e	1732	-0.12873056530952454	-0.42255005	Yes	
row_32	ISG20	Isg20	1760	-0.14157834649085999	-0.39267212	Yes	
row_33	LGALS1	Lgals1	1770	-0.14935307204723358	-0.35031772	Yes	
row_34	RSAD2	Rsad2	1779	-0.1553857922554016	-0.30549416	Yes	
row_35	TOP2A	Top2a	1784	-0.15666429698467255	-0.25804052	Yes	
row_36	STAT1	Stat1	1786	-0.15820293128490448	-0.20843042	Yes	
row_37	ISG15	Isg15	1807	-0.1824309229850769	-0.16170491	Yes	
row_38	CCL5	Ccl5	1808	-0.18249179422855377	-0.10383664	Yes	
row_39	FAM111A	Fam111a	1812	-0.18754857778549194	-0.04603337	Yes	
row_40	BST2	Bst2	1816	-0.18901820480823517	0.0122359125	Yes	
