NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCR5	Ccr5	2	0.33499446511268616	0.09554197	Yes	
row_1	CCR2	Ccr2	6	0.30017155408859253	0.18048011	Yes	
row_2	XCL1	Xcl1	9	0.2705119550228119	0.25741714	Yes	
row_3	CALM3	Calm2	13	0.2538653612136841	0.3289947	Yes	
row_4	UBASH3B	Ubash3b	53	0.17144091427326202	0.35675716	Yes	
row_5	FYN	Fyn	66	0.15701131522655487	0.39538136	Yes	
row_6	PTPN6	Ptpn6	67	0.15403304994106293	0.43982404	Yes	
row_7	CXCR3	Cxcr3	118	0.09245146065950394	0.43867463	Yes	
row_8	CXCR6	Cxcr6	149	0.08062325417995453	0.44524214	Yes	
row_9	CD38	Cd38	171	0.07243873178958893	0.4544565	Yes	
row_10	GPR18	Gpr18	186	0.0671633705496788	0.4660442	Yes	
row_11	F2RL1	F2rl1	197	0.0633266270160675	0.4787508	Yes	
row_12	PTPRC	Ptprc	200	0.06255877017974854	0.49568772	Yes	
row_13	GPR174	Gpr174	230	0.05388976261019707	0.49509838	No	
row_14	FASLG	Fasl	347	0.03288247436285019	0.44003382	No	
row_15	PTGER4	Ptger4	366	0.03027244843542576	0.43875155	No	
row_16	TRPM4	Trpm4	375	0.02893664501607418	0.44264868	No	
row_17	NPTN	Nptn	396	0.026366475969552994	0.43912646	No	
row_18	CXCR5	Cxcr5	486	0.015545480884611607	0.39408475	No	
row_19	CCL3	Ccl3	536	0.009737765416502953	0.3696267	No	
row_20	DLG4	Dlg4	576	0.005583205725997686	0.34953475	No	
row_21	ATP2B1	Atp2b1	586	0.004867198411375284	0.34593073	No	
row_22	CXCR4	Cxcr4	633	0.0013894559815526009	0.3207334	No	
row_23	PTGER2	Ptger2	817	-0.014800641685724258	0.22316739	No	
row_24	PML	Pml	824	-0.01561275776475668	0.2243332	No	
row_25	THY1	Thy1	916	-0.02168836072087288	0.17995091	No	
row_26	CALM1	Calm1	949	-0.024458788335323334	0.16920048	No	
row_27	TRPM1	Trpm1	1005	-0.027901582419872284	0.14664426	No	
row_28	IBTK	Ibtk	1108	-0.036858078092336655	0.10051755	No	
row_29	GNA15	Gna15	1197	-0.04563038796186447	0.064712636	No	
row_30	S1PR4	S1pr4	1223	-0.04767187312245369	0.064555176	No	
row_31	ATP2B4	Atp2b4	1238	-0.049256712198257446	0.0709763	No	
row_32	SWAP70	Swap70	1322	-0.05858524516224861	0.041691635	No	
row_33	CD55	Cd55	1332	-0.05921660363674164	0.053768873	No	
row_34	CX3CR1	Cx3cr1	1359	-0.062084585428237915	0.057213392	No	
row_35	CAMK2D	Camk2d	1438	-0.06969250738620758	0.03391588	No	
row_36	P2RY10	P2ry10	1441	-0.06978436559438705	0.052937586	No	
row_37	S1PR1	S1pr1	1590	-0.09253500401973724	-0.0027230643	No	
row_38	BCL2	Bcl2	1608	-0.09541616588830948	0.01534686	No	
row_39	ITPR2	Itpr2	1679	-0.11091958731412888	0.008396337	No	
row_40	CCR9	Ccr9	1698	-0.11710519343614578	0.032167647	No	
row_41	CCR7	Ccr7	1783	-0.15660057961940765	0.03060656	No	
