NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ST3GAL6	St3gal6	4	0.32261836528778076	0.31502607	Yes	
row_1	ELOVL6	Elovl6	46	0.17679810523986816	0.4663872	Yes	
row_2	CHSY1	Chsy1	74	0.14699780941009521	0.5961222	Yes	
row_3	DSEL	Dsel	381	0.02834060601890087	0.45622537	No	
row_4	EXT1	Ext1	529	0.010494673624634743	0.3859523	No	
row_5	ACSL1	Acsl1	618	0.002640421036630869	0.3403029	No	
row_6	B4GALT1	B4galt1	688	-0.003902292111888528	0.30631095	No	
row_7	CSAD	Csad	802	-0.01354899536818266	0.25768143	No	
row_8	ACSL3	Acsl3	807	-0.013781308196485043	0.26903912	No	
row_9	HPGDS	Hpgds	1014	-0.028866561129689217	0.18448398	No	
row_10	ST3GAL2	St3gal2	1048	-0.03155366703867912	0.19741745	No	
row_11	GGT5	Ggt5	1167	-0.042526114732027054	0.17453887	No	
row_12	CHST2	Chst2	1181	-0.04375525191426277	0.21043465	No	
row_13	GGT1	Ggt1	1353	-0.06148126348853111	0.17713696	No	
row_14	MAT2A	Mat2a	1568	-0.08971535414457321	0.14802627	No	
