NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CXCR6	Cxcr6	149	0.08062325417995453	-0.055041127	No	
row_1	IFI27	Ifi27	177	0.0701385959982872	-0.04603791	No	
row_2	EEA1	Eea1	373	0.029327431693673134	-0.14410834	No	
row_3	PABPC1	Pabpc1	422	0.02366204373538494	-0.16262935	No	
row_4	NFIA	Nfia	488	0.01550579909235239	-0.19336127	No	
row_5	RNASEL	Rnasel	512	0.012241804972290993	-0.20192705	No	
row_6	ZC3HAV1	Zc3hav1	663	-0.001952711259946227	-0.28440827	No	
row_7	PKN2	Pkn2	718	-0.006244095973670483	-0.31220782	No	
row_8	CD28	Cd28	769	-0.009838082827627659	-0.33656183	No	
row_9	YTHDC2	Ythdc2	875	-0.01912449300289154	-0.38823	No	
row_10	OAS1	Oas1a	965	-0.025052033364772797	-0.42900324	No	
row_11	SLPI	Slpi	977	-0.025978947058320045	-0.42622247	No	
row_12	OASL	Oasl1	1090	-0.03535730019211769	-0.47622332	No	
row_13	PLSCR1	Plscr1	1217	-0.04745608568191528	-0.52984995	No	
row_14	MPHOSPH8	Mphosph8	1286	-0.0541493222117424	-0.54903835	No	
row_15	ZC3H12A	Zc3h12a	1360	-0.06227273494005203	-0.56822217	No	
row_16	FBXL2	Fbxl2	1471	-0.0758829116821289	-0.6032647	Yes	
row_17	TOP2B	Top2b	1517	-0.081558957695961	-0.6003364	Yes	
row_18	ROCK2	Rock2	1530	-0.08357544988393784	-0.57842624	Yes	
row_19	OAS3	Oas3	1532	-0.08407538384199142	-0.55024767	Yes	
row_20	IFIT1	Ifit1bl1	1550	-0.08715087920427322	-0.52988726	Yes	
row_21	TNF	Tnf	1589	-0.09243222326040268	-0.51936275	Yes	
row_22	BCL2	Bcl2	1608	-0.09541616588830948	-0.49673197	Yes	
row_23	IFI16	Ifi203	1657	-0.10485174506902695	-0.48750627	Yes	
row_24	EIF2AK2	Eif2ak2	1684	-0.11255605518817902	-0.46345252	Yes	
row_25	DEK	Dek	1694	-0.11563655734062195	-0.42892247	Yes	
row_26	LARP1	Larp1	1706	-0.1202327162027359	-0.39393035	Yes	
row_27	ISG20	Isg20	1760	-0.14157834649085999	-0.3749249	Yes	
row_28	RSAD2	Rsad2	1779	-0.1553857922554016	-0.33179942	Yes	
row_29	TOP2A	Top2a	1784	-0.15666429698467255	-0.28047648	Yes	
row_30	HSPA8	Hspa8	1788	-0.1586923748254776	-0.22790614	Yes	
row_31	ISG15	Isg15	1807	-0.1824309229850769	-0.17553794	Yes	
row_32	CCL5	Ccl5	1808	-0.18249179422855377	-0.11317113	Yes	
row_33	FAM111A	Fam111a	1812	-0.18754857778549194	-0.050739124	Yes	
row_34	BST2	Bst2	1816	-0.18901820480823517	0.01219513	Yes	
