NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACTG1	Actg1	10	0.2691012918949127	0.13642068	Yes	
row_1	ACTB	Actb	41	0.18240998685359955	0.2161061	Yes	
row_2	COTL1	Cotl1	54	0.17013712227344513	0.29923055	Yes	
row_3	FYN	Fyn	66	0.15701131522655487	0.37598294	Yes	
row_4	TPM4	Tpm4	117	0.09264743328094482	0.3973133	Yes	
row_5	RAC2	Rac2	145	0.08114214986562729	0.4252408	Yes	
row_6	LCP1	Lcp1	151	0.07918258011341095	0.46424934	Yes	
row_7	PALLD	Palld	243	0.05053173005580902	0.44079027	No	
row_8	DUSP22	Dusp22	316	0.037401918321847916	0.42086893	No	
row_9	RCSD1	Rcsd1	355	0.032348498702049255	0.4170048	No	
row_10	CD2AP	Cd2ap	406	0.025571569800376892	0.4029585	No	
row_11	FLNA	Flna	420	0.0239020437002182	0.40840617	No	
row_12	GAS7	Gas7	498	0.01425121258944273	0.37352154	No	
row_13	TWF1	Twf1	932	-0.02267913892865181	0.14704669	No	
row_14	MYO6	Myo6	947	-0.024422038346529007	0.15221791	No	
row_15	GAS2	Gas2	1084	-0.03426823392510414	0.095401525	No	
row_16	WHRN	Whrn	1103	-0.036424074321985245	0.10470013	No	
row_17	IQGAP1	Iqgap1	1179	-0.043699927628040314	0.086448446	No	
row_18	TSC1	Tsc1	1423	-0.06843360513448715	-0.011269407	No	
row_19	MYO5A	Myo5a	1440	-0.06974194943904877	0.01670277	No	
row_20	ACTN1	Actn1	1653	-0.10324325412511826	-0.04558557	No	
row_21	PDLIM4	Pdlim4	1752	-0.1373133510351181	-0.027129602	No	
row_22	ACTN2	Actn2	1757	-0.14018596708774567	0.044603534	No	
