NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDRG1	Ndrg1	15	0.2425455003976822	0.117992505	Yes	
row_1	ACTB	Actb	41	0.18240998685359955	0.19915934	Yes	
row_2	ZYX	Zyx	57	0.16501785814762115	0.27679047	Yes	
row_3	KLHL24	Klhl24	126	0.08923937380313873	0.28572145	Yes	
row_4	PKP4	Pkp4	129	0.08826208859682083	0.33056745	Yes	
row_5	ABI2	Abi2	131	0.08653464913368225	0.37506604	Yes	
row_6	APC	Apc	191	0.06486698240041733	0.37627548	Yes	
row_7	TLN1	Tln1	364	0.030862167477607727	0.29741976	No	
row_8	AHI1	Ahi1	395	0.026521572843194008	0.29467076	No	
row_9	DDX6	Ddx6	447	0.020198145881295204	0.27704036	No	
row_10	PVR	Pvr	515	0.012024294584989548	0.24632455	No	
row_11	CTNNA1	Ctnna1	632	0.001421858905814588	0.18304712	No	
row_12	FRMD4B	Frmd4b	686	-0.003811151022091508	0.15578178	No	
row_13	DAG1	Dag1	704	-0.00510537950322032	0.14905778	No	
row_14	FRMD4A	Frmd4a	771	-0.009893693029880524	0.11778465	No	
row_15	CYTH3	Cyth3	796	-0.012898380868136883	0.11125459	No	
row_16	KIFC3	Kifc3	803	-0.013671685010194778	0.115060896	No	
row_17	MYH9	Myh9	871	-0.01904963329434395	0.08800253	No	
row_18	ITGA6	Itga6	1113	-0.0375295951962471	-0.025461545	No	
row_19	MPP5	Mpp5	1279	-0.05337816849350929	-0.08873215	No	
row_20	SMAD7	Smad7	1280	-0.0534033365547657	-0.060930055	No	
row_21	PKP3	Pkp3	1429	-0.06881789118051529	-0.10678075	No	
row_22	CD99L2	Cd99l2	1447	-0.07180468738079071	-0.078780696	No	
row_23	BMPR2	Bmpr2	1576	-0.09025294333696365	-0.10243465	No	
row_24	PDLIM4	Pdlim4	1752	-0.1373133510351181	-0.12752686	No	
row_25	ANXA2	Anxa2	1768	-0.14709687232971191	-0.059225492	No	
row_26	S100A11	S100a11	1811	-0.186907097697258	0.014900664	No	
