NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACTG1	Actg1	10	0.2691012918949127	0.21990913	Yes	
row_1	ACTB	Actb	41	0.18240998685359955	0.35619414	Yes	
row_2	APC	Apc	191	0.06486698240041733	0.32852668	Yes	
row_3	FBF1	Fbf1	268	0.04371647536754608	0.32331857	Yes	
row_4	YBX3	Ybx3	286	0.04134412854909897	0.34859443	Yes	
row_5	RAP2B	Rap2b	291	0.04056761413812637	0.38037446	Yes	
row_6	JAML	Jaml	367	0.030095912516117096	0.36430746	No	
row_7	CTNNA1	Ctnna1	632	0.001421858905814588	0.22020404	No	
row_8	FRMD4B	Frmd4b	686	-0.003811151022091508	0.19422749	No	
row_9	PKN2	Pkn2	718	-0.006244095973670483	0.18239677	No	
row_10	DDX58	Ddx58	760	-0.008882462978363037	0.1672725	No	
row_11	FRMD4A	Frmd4a	771	-0.009893693029880524	0.17005637	No	
row_12	CYTH3	Cyth3	796	-0.012898380868136883	0.16765212	No	
row_13	KIFC3	Kifc3	803	-0.013671685010194778	0.17580205	No	
row_14	CLDN10	Cldn10	815	-0.014485949650406837	0.18188228	No	
row_15	USP53	Usp53	854	-0.01764795184135437	0.17575149	No	
row_16	MPP5	Mpp5	1279	-0.05337816849350929	-0.012887971	No	
row_17	PATJ	Patj	1370	-0.06335809826850891	-0.009348251	No	
row_18	MTDH	Mtdh	1380	-0.0640539601445198	0.039353333	No	
row_19	ASH1L	Ash1l	1496	-0.07855597883462906	0.04186461	No	
row_20	ECT2	Ect2	1544	-0.08581280708312988	0.0878789	No	
row_21	EPCAM	Epcam	1554	-0.08759725838899612	0.15630153	No	
