NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACTG1	Actg1	10	0.2691012918949127	0.051083636	Yes	
row_1	NDRG1	Ndrg1	15	0.2425455003976822	0.09995847	Yes	
row_2	CD2	Cd2	40	0.1825457364320755	0.124884404	Yes	
row_3	ACTB	Actb	41	0.18240998685359955	0.16334105	Yes	
row_4	ZYX	Zyx	57	0.16501785814762115	0.1896564	Yes	
row_5	STARD10	Stard10	64	0.1590958535671234	0.219808	Yes	
row_6	PTPN6	Ptpn6	67	0.15403304994106293	0.25115213	Yes	
row_7	CNN2	Cnn2	81	0.1355934590101242	0.272394	Yes	
row_8	ACTR3	Actr3	88	0.12135029584169388	0.29458788	Yes	
row_9	ADD3	Add3	105	0.1017087772488594	0.30699113	Yes	
row_10	KLHL24	Klhl24	126	0.08923937380313873	0.3145056	Yes	
row_11	PKP4	Pkp4	129	0.08826208859682083	0.33198354	Yes	
row_12	ABI2	Abi2	131	0.08653464913368225	0.34966227	Yes	
row_13	APC	Apc	191	0.06486698240041733	0.3300045	No	
row_14	FBF1	Fbf1	268	0.04371647536754608	0.29628322	No	
row_15	YBX3	Ybx3	286	0.04134412854909897	0.29539508	No	
row_16	RAP2B	Rap2b	291	0.04056761413812637	0.30168787	No	
row_17	PPP3CA	Ppp3ca	294	0.04054020717740059	0.30910483	No	
row_18	ATP1B1	Atp1b1	326	0.03593038022518158	0.29916573	No	
row_19	TLN1	Tln1	364	0.030862167477607727	0.2847683	No	
row_20	JAML	Jaml	367	0.030095912516117096	0.28998333	No	
row_21	AHI1	Ahi1	395	0.026521572843194008	0.28032053	No	
row_22	CD2AP	Cd2ap	406	0.025571569800376892	0.28006193	No	
row_23	FLNA	Flna	420	0.0239020437002182	0.27775645	No	
row_24	DDX6	Ddx6	447	0.020198145881295204	0.26732546	No	
row_25	PVR	Pvr	515	0.012024294584989548	0.23200738	No	
row_26	HEG1	Heg1	522	0.01160166971385479	0.23106349	No	
row_27	CTNNA1	Ctnna1	632	0.001421858905814588	0.16978133	No	
row_28	FRMD4B	Frmd4b	686	-0.003811151022091508	0.1406413	No	
row_29	B4GALT1	B4galt1	688	-0.003902292111888528	0.14089903	No	
row_30	DAG1	Dag1	704	-0.00510537950322032	0.1335008	No	
row_31	PKN2	Pkn2	718	-0.006244095973670483	0.12747258	No	
row_32	DDX58	Ddx58	760	-0.008882462978363037	0.10618139	No	
row_33	FRMD4A	Frmd4a	771	-0.009893693029880524	0.10261751	No	
row_34	CYTH3	Cyth3	796	-0.012898380868136883	0.091777496	No	
row_35	KIFC3	Kifc3	803	-0.013671685010194778	0.09127	No	
row_36	THEMIS	Themis	806	-0.013722728937864304	0.09303316	No	
row_37	CLDN10	Cldn10	815	-0.014485949650406837	0.09156739	No	
row_38	PNN	Pnn	816	-0.014489538967609406	0.09462215	No	
row_39	USP53	Usp53	854	-0.01764795184135437	0.077438824	No	
row_40	PLEKHG5	Plekhg5	859	-0.01797669380903244	0.07896888	No	
row_41	ILDR1	Ildr1	862	-0.01822485402226448	0.0816812	No	
row_42	MYH9	Myh9	871	-0.01904963329434395	0.08117757	No	
row_43	TWF1	Twf1	932	-0.02267913892865181	0.052060597	No	
row_44	ITGA6	Itga6	1113	-0.0375295951962471	-0.041722134	No	
row_45	IQGAP1	Iqgap1	1179	-0.043699927628040314	-0.06923225	No	
row_46	VSIG10	Vsig10	1195	-0.04523376747965813	-0.0681704	No	
row_47	PIK3CA	Pik3ca	1261	-0.051068015396595	-0.09412714	No	
row_48	MPP5	Mpp5	1279	-0.05337816849350929	-0.09247819	No	
row_49	SMAD7	Smad7	1280	-0.0534033365547657	-0.08121942	No	
row_50	DPP4	Dpp4	1352	-0.06142297387123108	-0.108382896	No	
row_51	PATJ	Patj	1370	-0.06335809826850891	-0.10462993	No	
row_52	MTDH	Mtdh	1380	-0.0640539601445198	-0.09621048	No	
row_53	PECAM1	Pecam1	1421	-0.06841204315423965	-0.10438636	No	
row_54	PKP3	Pkp3	1429	-0.06881789118051529	-0.09383261	No	
row_55	CLIC4	Clic4	1435	-0.06917513161897659	-0.08207361	No	
row_56	CD99L2	Cd99l2	1447	-0.07180468738079071	-0.07315005	No	
row_57	ASH1L	Ash1l	1496	-0.07855597883462906	-0.08370711	No	
row_58	KRIT1	Krit1	1505	-0.08008091151714325	-0.0713438	No	
row_59	ECT2	Ect2	1544	-0.08581280708312988	-0.074721225	No	
row_60	TMEM65	Tmem65	1551	-0.08717896789312363	-0.05973152	No	
row_61	EPCAM	Epcam	1554	-0.08759725838899612	-0.042393748	No	
row_62	BMPR2	Bmpr2	1576	-0.09025294333696365	-0.035230555	No	
row_63	KCNA2	Kcna2	1616	-0.09665589779615402	-0.036886945	No	
row_64	ACTN1	Actn1	1653	-0.10324325412511826	-0.03545964	No	
row_65	PDLIM4	Pdlim4	1752	-0.1373133510351181	-0.06187775	No	
row_66	ANXA2	Anxa2	1768	-0.14709687232971191	-0.039340585	No	
row_67	AHNAK	Ahnak	1806	-0.18192249536514282	-0.021890681	No	
row_68	S100A11	S100a11	1811	-0.186907097697258	0.015254175	No	
