NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ANXA6	Anxa6	174	0.07120715081691742	-0.052427933	No	
row_1	CTSD	Ctsd	219	0.05696912854909897	-0.04177151	No	
row_2	TGFB1	Tgfb1	256	0.047174133360385895	-0.032707043	No	
row_3	CDH13	Cdh13	263	0.04565618932247162	-0.00799966	No	
row_4	MEGF9	Megf9	369	0.029807453975081444	-0.04771585	No	
row_5	SERPINB6	Serpinb6a	450	0.0199995469301939	-0.079639666	No	
row_6	COL6A3	Col6a3	463	0.01827327348291874	-0.07505395	No	
row_7	ADAMTS10	Adamts10	489	0.015444962307810783	-0.07938649	No	
row_8	ITIH5	Itih5	579	0.005389397963881493	-0.12524992	No	
row_9	ECM1	Ecm1	588	0.00473116897046566	-0.12676597	No	
row_10	ATRN	Atrn	607	0.003487945068627596	-0.13456993	No	
row_11	DAG1	Dag1	704	-0.00510537950322032	-0.18447508	No	
row_12	CTSF	Ctsf	887	-0.01985476166009903	-0.27284133	No	
row_13	S100A10	S100a10	907	-0.02101038210093975	-0.27044308	No	
row_14	ADAM19	Adam19	957	-0.024650193750858307	-0.2823854	No	
row_15	SLPI	Slpi	977	-0.025978947058320045	-0.2769376	No	
row_16	L1CAM	L1cam	994	-0.02699022740125656	-0.26921165	No	
row_17	PLSCR1	Plscr1	1217	-0.04745608568191528	-0.36273655	No	
row_18	WNT5B	Wnt5b	1377	-0.06371190398931503	-0.41147754	No	
row_19	ICAM1	Icam1	1501	-0.07978678494691849	-0.43046278	Yes	
row_20	S100A4	S100a4	1557	-0.08830364048480988	-0.4066516	Yes	
row_21	LGALS3BP	Lgals3bp	1567	-0.0894140899181366	-0.35674447	Yes	
row_22	CALR	Calr	1602	-0.09443475306034088	-0.317568	Yes	
row_23	HSP90B1	Hsp90b1	1610	-0.09564898908138275	-0.26272914	Yes	
row_24	LGALS3	Lgals3	1620	-0.09773752093315125	-0.20771335	Yes	
row_25	ANXA5	Anxa5	1628	-0.0988674908876419	-0.15089907	Yes	
row_26	S100A6	S100a6	1748	-0.1357390135526657	-0.13333268	Yes	
row_27	ANXA2	Anxa2	1768	-0.14709687232971191	-0.053546593	Yes	
row_28	LGALS1	Lgals1	1770	-0.14935307204723358	0.037569035	Yes	
