NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	APC	Apc	191	0.06486698240041733	-0.071336046	No	
row_1	CLIP1	Clip1	216	0.05813881382346153	-0.05431089	No	
row_2	BOD1L1	Bod1l	354	0.03236762434244156	-0.11284044	No	
row_3	DYNLL1	Dynll1	561	0.006737084593623877	-0.22264914	No	
row_4	PPP1R12A	Ppp1r12a	580	0.005385964643210173	-0.22974996	No	
row_5	SUGT1	Sugt1	581	0.005339647643268108	-0.22697388	No	
row_6	ERCC6L	Ercc6l	1153	-0.04127506911754608	-0.5195963	No	
row_7	TPR	Tpr	1232	-0.04864666610956192	-0.5372091	No	
row_8	KIF18A	Kif18a	1308	-0.0568016953766346	-0.5489319	No	
row_9	PELI1	Peli1	1347	-0.060596223920583725	-0.5383299	No	
row_10	CENPW	Cenpw	1514	-0.08127162605524063	-0.5873858	Yes	
row_11	CENPE	Cenpe	1566	-0.08922138810157776	-0.5690522	Yes	
row_12	CENPA	Cenpa	1623	-0.09803668409585953	-0.5488859	Yes	
row_13	SPC25	Spc25	1729	-0.12841852009296417	-0.5398766	Yes	
row_14	CBX5	Cbx5	1737	-0.1300150603055954	-0.47613192	Yes	
row_15	KIF22	Kif22	1744	-0.1333988606929779	-0.41007796	Yes	
row_16	NDC80	Ndc80	1751	-0.13706283271312714	-0.34211907	Yes	
row_17	SMC1A	Smc1a	1781	-0.1556764543056488	-0.27713418	Yes	
row_18	CCNB1	Ccnb1	1799	-0.1683269888162613	-0.19897161	Yes	
row_19	SPC24	Spc24	1826	-0.20662614703178406	-0.10584774	Yes	
row_20	BIRC5	Birc5	1830	-0.2152295857667923	0.0044003506	Yes	
