NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLEK	Plek	20	0.22111453115940094	0.12421156	Yes	
row_1	SCIMP	Scimp	89	0.1212441474199295	0.16081057	Yes	
row_2	CFL1	Cfl1	125	0.08953812718391418	0.19624627	Yes	
row_3	LCP1	Lcp1	151	0.07918258011341095	0.23087208	Yes	
row_4	ITGB1	Itgb1	154	0.077346071600914	0.27708164	Yes	
row_5	EEF1A1	Eef1a1	188	0.06651777774095535	0.29954016	Yes	
row_6	APC	Apc	191	0.06486698240041733	0.33811596	Yes	
row_7	KCNC1	Kcnc1	205	0.061613619327545166	0.3686242	Yes	
row_8	MACF1	Macf1	338	0.03441057726740837	0.31674585	No	
row_9	TLN1	Tln1	364	0.030862167477607727	0.32181287	No	
row_10	KSR1	Ksr1	570	0.006259910762310028	0.21238254	No	
row_11	ATP2B1	Atp2b1	586	0.004867198411375284	0.20707263	No	
row_12	C2CD5	C2cd5	624	0.002035191049799323	0.18787563	No	
row_13	DDX58	Ddx58	760	-0.008882462978363037	0.118723616	No	
row_14	GABARAPL1	Gabarapl1	809	-0.014003625139594078	0.10077065	No	
row_15	APPL2	Appl2	868	-0.018628165125846863	0.08012177	No	
row_16	THY1	Thy1	916	-0.02168836072087288	0.067422226	No	
row_17	TWF1	Twf1	932	-0.02267913892865181	0.073008336	No	
row_18	MYO6	Myo6	947	-0.024422038346529007	0.0802131	No	
row_19	RASGRP2	Rasgrp2	1074	-0.03345288336277008	0.031063806	No	
row_20	TESC	Tesc	1101	-0.03628936782479286	0.038898278	No	
row_21	RIPOR2	Ripor2	1150	-0.04088110104203224	0.037386935	No	
row_22	TIRAP	Tirap	1196	-0.04530073702335358	0.04023665	No	
row_23	PLEKHO1	Plekho1	1273	-0.052480436861515045	0.030351294	No	
row_24	DPP4	Dpp4	1352	-0.06142297387123108	0.024831342	No	
row_25	NME1	Nme1	1450	-0.07213856279850006	0.015369145	No	
row_26	KCNA2	Kcna2	1616	-0.09665589779615402	-0.016664244	No	
row_27	SPTBN1	Sptbn1	1618	-0.09740146994590759	0.04236618	No	
row_28	WLS	Wls	1731	-0.12853549420833588	0.059116106	No	
