NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD2	Cd2	40	0.1825457364320755	0.017302364	No	
row_1	FYN	Fyn	66	0.15701131522655487	0.037471056	No	
row_2	FAS	Fas	130	0.0865669772028923	0.02092568	No	
row_3	ITGB1	Itgb1	154	0.077346071600914	0.024855096	No	
row_4	SELPLG	Selplg	166	0.07391941547393799	0.034783013	No	
row_5	KRAS	Kras	172	0.0724053829908371	0.04775362	No	
row_6	PTPRC	Ptprc	200	0.06255877017974854	0.046211604	No	
row_7	CTSD	Ctsd	219	0.05696912854909897	0.048510313	No	
row_8	ABCG2	Abcg2	247	0.04822779446840286	0.043844778	No	
row_9	CDH13	Cdh13	263	0.04565618932247162	0.045364108	No	
row_10	RAP2B	Rap2b	291	0.04056761413812637	0.03902899	No	
row_11	ATP1B1	Atp1b1	326	0.03593038022518158	0.027748365	No	
row_12	FASLG	Fasl	347	0.03288247436285019	0.02367302	No	
row_13	ARID3A	Arid3a	361	0.031177349388599396	0.02316083	No	
row_14	CHRNB2	Chrnb2	394	0.02660076692700386	0.010970989	No	
row_15	CBL	Cbl	497	0.01430210005491972	-0.043247364	No	
row_16	TLR6	Tlr6	575	0.005823581479489803	-0.08526082	No	
row_17	ATP2B1	Atp2b1	586	0.004867198411375284	-0.08982112	No	
row_18	CTNNA1	Ctnna1	632	0.001421858905814588	-0.11480633	No	
row_19	NPC1	Npc1	699	-0.004740665201097727	-0.15087257	No	
row_20	DAG1	Dag1	704	-0.00510537950322032	-0.15200828	No	
row_21	ABCA1	Abca1	762	-0.009099787101149559	-0.1820654	No	
row_22	ORAI1	Orai1	805	-0.013709121383726597	-0.20268618	No	
row_23	FURIN	Furin	846	-0.017114877700805664	-0.22144043	No	
row_24	S100A10	S100a10	907	-0.02101038210093975	-0.2505879	No	
row_25	THY1	Thy1	916	-0.02168836072087288	-0.25035772	No	
row_26	EFNB1	Efnb1	1062	-0.03282255679368973	-0.3247103	No	
row_27	ITGB2	Itgb2	1105	-0.03668106719851494	-0.34032422	No	
row_28	IQGAP1	Iqgap1	1179	-0.043699927628040314	-0.37183386	No	
row_29	PLSCR1	Plscr1	1217	-0.04745608568191528	-0.38228872	No	
row_30	ATP2B4	Atp2b4	1238	-0.049256712198257446	-0.3827952	No	
row_31	PRKAR2B	Prkar2b	1249	-0.050285547971725464	-0.37745634	No	
row_32	GPM6B	Gpm6b	1268	-0.05180066078901291	-0.37628412	No	
row_33	CD48	Cd48	1269	-0.05186784267425537	-0.3649792	No	
row_34	KIF18A	Kif18a	1308	-0.0568016953766346	-0.37395927	No	
row_35	CD55	Cd55	1332	-0.05921660363674164	-0.37398127	No	
row_36	DPP4	Dpp4	1352	-0.06142297387123108	-0.37127393	No	
row_37	LRP8	Lrp8	1399	-0.06637317687273026	-0.38266474	No	
row_38	LY6K	Ly6k	1401	-0.06668838113546371	-0.36869174	No	
row_39	PECAM1	Pecam1	1421	-0.06841204315423965	-0.3644611	No	
row_40	SYNJ2	Synj2	1485	-0.07751130312681198	-0.3829802	Yes	
row_41	ITGA1	Itga1	1500	-0.07941204309463501	-0.37354147	Yes	
row_42	ICAM1	Icam1	1501	-0.07978678494691849	-0.35615146	Yes	
row_43	ATP1B3	Atp1b3	1518	-0.08175472170114517	-0.34732637	Yes	
row_44	BMPR2	Bmpr2	1576	-0.09025294333696365	-0.3596957	Yes	
row_45	TNF	Tnf	1589	-0.09243222326040268	-0.3462949	Yes	
row_46	S1PR1	S1pr1	1590	-0.09253500401973724	-0.32612637	Yes	
row_47	LAT	Lat	1593	-0.09303821623325348	-0.30697238	Yes	
row_48	CASP3	Casp3	1639	-0.10065294802188873	-0.3103296	Yes	
row_49	CFLAR	Cflar	1709	-0.1207013800740242	-0.32280785	Yes	
row_50	CD8A	Cd8a	1711	-0.1211993619799614	-0.29695386	Yes	
row_51	TDGF1	Tdgf1	1717	-0.12289342284202576	-0.27297908	Yes	
row_52	LDHB	Ldhb	1745	-0.13406974077224731	-0.2589349	Yes	
row_53	ANXA2	Anxa2	1768	-0.14709687232971191	-0.23924075	Yes	
row_54	TUBA1A	Tuba1a	1790	-0.1604577898979187	-0.21607243	Yes	
row_55	AHNAK	Ahnak	1806	-0.18192249536514282	-0.18485306	Yes	
row_56	BST2	Bst2	1816	-0.18901820480823517	-0.14871447	Yes	
row_57	CD226	Cd226	1829	-0.21493351459503174	-0.10861381	Yes	
row_58	TUBB	Tubb5	1833	-0.2489050328731537	-0.05604985	Yes	
row_59	TUBA1B	Tuba1b	1834	-0.2674778997898102	0.002248518	Yes	
