NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GEM	Gem	51	0.1729225218296051	0.03456851	No	
row_1	KLHDC8B	Klhdc8b	119	0.09212200343608856	0.030893164	No	
row_2	PKP4	Pkp4	129	0.08826208859682083	0.05798341	No	
row_3	TTC28	Ttc28	229	0.054064277559518814	0.022726463	No	
row_4	RAP2A	Rap2a	265	0.04547864571213722	0.019845167	No	
row_5	RALB	Ralb	296	0.0403098538517952	0.01785825	No	
row_6	RASGEF1B	Rasgef1b	341	0.034019794315099716	0.0058201547	No	
row_7	LZTS2	Lzts2	376	0.028852609917521477	-0.0025498213	No	
row_8	CELF2	Celf2	493	0.014945701695978642	-0.0614545	No	
row_9	RACGAP1	Racgap1	693	-0.004059126600623131	-0.17035067	No	
row_10	PKN2	Pkn2	718	-0.006244095973670483	-0.1813922	No	
row_11	BIRC6	Birc6	766	-0.009490611031651497	-0.20401016	No	
row_12	MICAL3	Mical3	891	-0.019937776029109955	-0.26553735	No	
row_13	BCL3	Bcl3	963	-0.024942001327872276	-0.29585013	No	
row_14	CNTRL	Cntrl	1027	-0.03012080118060112	-0.31984344	No	
row_15	TOPORS	Topors	1032	-0.03042563423514366	-0.3110027	No	
row_16	SVIL	Svil	1073	-0.03336840495467186	-0.32105905	No	
row_17	IQGAP1	Iqgap1	1179	-0.043699927628040314	-0.36341107	No	
row_18	AURKA	Aurka	1253	-0.05057625472545624	-0.38551545	No	
row_19	GNL3	Gnl3	1415	-0.06817121803760529	-0.45003188	Yes	
row_20	CYLD	Cyld	1417	-0.06819989532232285	-0.42579687	Yes	
row_21	CLIC4	Clic4	1435	-0.06917513161897659	-0.4100815	Yes	
row_22	KIF23	Kif23	1468	-0.07564869523048401	-0.40033254	Yes	
row_23	MITD1	Mitd1	1479	-0.07697122544050217	-0.377901	Yes	
row_24	CAPG	Capg	1534	-0.08454262465238571	-0.37712112	Yes	
row_25	ECT2	Ect2	1544	-0.08581280708312988	-0.35092115	Yes	
row_26	KIF20B	Kif20b	1559	-0.0886993482708931	-0.32644513	Yes	
row_27	CENPE	Cenpe	1566	-0.08922138810157776	-0.2973423	Yes	
row_28	HSP90B1	Hsp90b1	1610	-0.09564898908138275	-0.2864245	Yes	
row_29	HSPA5	Hspa5	1633	-0.10029110312461853	-0.2621721	Yes	
row_30	VPS37B	Vps37b	1724	-0.1267712414264679	-0.26600948	Yes	
row_31	ANXA2	Anxa2	1768	-0.14709687232971191	-0.23639116	Yes	
row_32	PRC1	Prc1	1800	-0.16847743093967438	-0.19234574	Yes	
row_33	CDK1	Cdk1	1809	-0.18272265791893005	-0.1303659	Yes	
row_34	CDCA8	Cdca8	1810	-0.18462447822093964	-0.06325771	Yes	
row_35	BIRC5	Birc5	1830	-0.2152295857667923	0.0044369726	Yes	
