NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLEK	Plek	20	0.22111453115940094	0.21317238	Yes	
row_1	CFL1	Cfl1	125	0.08953812718391418	0.24680144	Yes	
row_2	LCP1	Lcp1	151	0.07918258011341095	0.31333885	Yes	
row_3	ITGB1	Itgb1	154	0.077346071600914	0.39065182	Yes	
row_4	EEF1A1	Eef1a1	188	0.06651777774095535	0.4399543	Yes	
row_5	APC	Apc	191	0.06486698240041733	0.5046162	Yes	
row_6	MACF1	Macf1	338	0.03441057726740837	0.45928118	No	
row_7	TLN1	Tln1	364	0.030862167477607727	0.47683236	No	
row_8	KSR1	Ksr1	570	0.006259910762310028	0.37054116	No	
row_9	C2CD5	C2cd5	624	0.002035191049799323	0.3434835	No	
row_10	DDX58	Ddx58	760	-0.008882462978363037	0.27831253	No	
row_11	APPL2	Appl2	868	-0.018628165125846863	0.23840618	No	
row_12	TWF1	Twf1	932	-0.02267913892865181	0.22678244	No	
row_13	MYO6	Myo6	947	-0.024422038346529007	0.2438487	No	
row_14	RASGRP2	Rasgrp2	1074	-0.03345288336277008	0.20853177	No	
row_15	TESC	Tesc	1101	-0.03628936782479286	0.23103547	No	
row_16	TIRAP	Tirap	1196	-0.04530073702335358	0.22531208	No	
row_17	PLEKHO1	Plekho1	1273	-0.052480436861515045	0.23675743	No	
row_18	NME1	Nme1	1450	-0.07213856279850006	0.21318673	No	
