NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZRSR2	Zrsr2	320	0.03668200597167015	-0.14672935	No	
row_1	RBM3	Rbm3	335	0.03496837615966797	-0.12624545	No	
row_2	PABPC1	Pabpc1	422	0.02366204373538494	-0.15454805	No	
row_3	PRPF40A	Prpf40a	443	0.0206979401409626	-0.14887717	No	
row_4	DQX1	Dqx1	504	0.013426486402750015	-0.17110834	No	
row_5	LUC7L3	Luc7l3	540	0.009513002820312977	-0.18272111	No	
row_6	CWF19L2	Cwf19l2	655	-0.0014230258530005813	-0.24438354	No	
row_7	SNRPN	Snrpn	720	-0.006513002794235945	-0.27439338	No	
row_8	PNN	Pnn	816	-0.014489538967609406	-0.31505108	No	
row_9	AQR	Aqr	967	-0.02526749111711979	-0.3773208	No	
row_10	HNRNPA2B1	Hnrnpa2b1	1130	-0.03880815580487251	-0.43528333	Yes	
row_11	LUC7L2	Luc7l2	1172	-0.04311182349920273	-0.42310888	Yes	
row_12	SF3B1	Sf3b1	1218	-0.04751178249716759	-0.40959027	Yes	
row_13	CIRBP	Cirbp	1256	-0.050893887877464294	-0.38893673	Yes	
row_14	PRPF4B	Prpf4b	1259	-0.050986018031835556	-0.34892514	Yes	
row_15	WBP4	Wbp4	1333	-0.05924759805202484	-0.34137017	Yes	
row_16	DDX5	Ddx5	1345	-0.0601230189204216	-0.29894948	Yes	
row_17	RNPC3	Rnpc3	1416	-0.06817389279603958	-0.28254372	Yes	
row_18	HNRNPR	Hnrnpr	1448	-0.0718570426106453	-0.24168037	Yes	
row_19	RBM5	Rbm5	1515	-0.08128923922777176	-0.21249494	Yes	
row_20	LGALS3	Lgals3	1620	-0.09773752093315125	-0.19098279	Yes	
row_21	HNRNPA1	Hnrnpa1	1667	-0.1080637201666832	-0.129188	Yes	
row_22	NCL	Ncl	1697	-0.11698923259973526	-0.050829563	Yes	
row_23	HSPA8	Hspa8	1788	-0.1586923748254776	0.027548138	Yes	
