NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCR5	Ccr5	2	0.33499446511268616	0.07804262	Yes	
row_1	PFN1	Pfn1	16	0.23905713856220245	0.12721147	Yes	
row_2	TMSB4Y	Tmsb4x	23	0.2090967744588852	0.1732456	Yes	
row_3	ARPC5	Arpc5	49	0.17332503199577332	0.20011546	Yes	
row_4	COTL1	Cotl1	54	0.17013712227344513	0.23806955	Yes	
row_5	CNN2	Cnn2	81	0.1355934590101242	0.25545853	Yes	
row_6	ACTR3	Actr3	88	0.12135029584169388	0.28075534	Yes	
row_7	GMFG	Gmfg	100	0.10524439066648483	0.2994273	Yes	
row_8	ADD3	Add3	105	0.1017087772488594	0.32120958	Yes	
row_9	TPM4	Tpm4	117	0.09264743328094482	0.3369045	Yes	
row_10	CFL1	Cfl1	125	0.08953812718391418	0.35411936	Yes	
row_11	IQGAP2	Iqgap2	133	0.0856812372803688	0.3704227	Yes	
row_12	MYO1F	Myo1f	136	0.08515294641256332	0.3894197	Yes	
row_13	LCP1	Lcp1	151	0.07918258011341095	0.40024135	Yes	
row_14	ITGB1	Itgb1	154	0.077346071600914	0.4173933	Yes	
row_15	ANXA6	Anxa6	174	0.07120715081691742	0.4235116	Yes	
row_16	KLHL20	Klhl20	225	0.055381495505571365	0.40841514	No	
row_17	PALLD	Palld	243	0.05053173005580902	0.41077456	No	
row_18	NCALD	Ncald	270	0.04298921301960945	0.40627816	No	
row_19	MACF1	Macf1	338	0.03441057726740837	0.37664273	No	
row_20	RCSD1	Rcsd1	355	0.032348498702049255	0.37526855	No	
row_21	TLN1	Tln1	364	0.030862167477607727	0.3780527	No	
row_22	SSH2	Ssh2	372	0.029491595923900604	0.38107663	No	
row_23	FLNA	Flna	420	0.0239020437002182	0.36023167	No	
row_24	DAAM1	Daam1	440	0.020905064418911934	0.35446194	No	
row_25	CCDC88A	Ccdc88a	494	0.014800889417529106	0.3280839	No	
row_26	GAS7	Gas7	498	0.01425121258944273	0.32976082	No	
row_27	TMOD4	Tmod4	510	0.01239063497632742	0.32648844	No	
row_28	ABLIM1	Ablim1	554	0.007647884078323841	0.30405688	No	
row_29	GSN	Gsn	603	0.0035862945951521397	0.27784693	No	
row_30	SNTB1	Sntb1	614	0.0031119196210056543	0.2729454	No	
row_31	CTNNA1	Ctnna1	632	0.001421858905814588	0.26369858	No	
row_32	CXCR4	Cxcr4	633	0.0013894559815526009	0.26402694	No	
row_33	DAG1	Dag1	704	-0.00510537950322032	0.22577468	No	
row_34	SYNE1	Syne1	728	-0.007225599139928818	0.21451727	No	
row_35	MAP1S	Map1s	739	-0.007803168147802353	0.21072443	No	
row_36	SNTB2	Sntb2	789	-0.012099236249923706	0.18596268	No	
row_37	FHL3	Fhl3	863	-0.018238864839076996	0.14912316	No	
row_38	MYH9	Myh9	871	-0.01904963329434395	0.14967932	No	
row_39	CDK5R1	Cdk5r1	883	-0.019553184509277344	0.14809969	No	
row_40	MICAL3	Mical3	891	-0.019937776029109955	0.14886574	No	
row_41	TWF1	Twf1	932	-0.02267913892865181	0.13167766	No	
row_42	MYO6	Myo6	947	-0.024422038346529007	0.1295576	No	
row_43	LSP1	Lsp1	980	-0.02619684487581253	0.11771043	No	
row_44	HIP1	Hip1	1049	-0.03158200904726982	0.08684282	No	
row_45	SVIL	Svil	1073	-0.03336840495467186	0.081763804	No	
row_46	GAS2	Gas2	1084	-0.03426823392510414	0.08422551	No	
row_47	MYO3B	Myo3b	1171	-0.04292307794094086	0.045891613	No	
row_48	DIAPH2	Diaph2	1175	-0.04342934116721153	0.054464273	No	
row_49	IQGAP1	Iqgap1	1179	-0.043699927628040314	0.06310088	No	
row_50	TNS1	Tns1	1182	-0.04379662498831749	0.072324045	No	
row_51	PLEC	Plec	1274	-0.05262189731001854	0.033463795	No	
row_52	CYFIP1	Cyfip1	1295	-0.05528529733419418	0.03525554	No	
row_53	KIF18A	Kif18a	1308	-0.0568016953766346	0.04191524	No	
row_54	MYO19	Myo19	1413	-0.06802554428577423	-6.327012E-4	No	
row_55	FXYD5	Fxyd5	1432	-0.06901803612709045	0.005531929	No	
row_56	MYO5A	Myo5a	1440	-0.06974194943904877	0.01806832	No	
row_57	CAPG	Capg	1534	-0.08454262465238571	-0.014375428	No	
row_58	S100A4	S100a4	1557	-0.08830364048480988	-0.0059077786	No	
row_59	AFAP1	Afap1	1562	-0.08886794000864029	0.012839793	No	
row_60	SPTBN1	Sptbn1	1618	-0.09740146994590759	0.004855525	No	
row_61	ACTN1	Actn1	1653	-0.10324325412511826	0.010089514	No	
row_62	MTSS1	Mtss1	1688	-0.11391400545835495	0.017845344	No	
row_63	PDLIM4	Pdlim4	1752	-0.1373133510351181	0.014783959	No	
row_64	ACTN2	Actn2	1757	-0.14018596708774567	0.04565964	No	
