NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ARPC5	Arpc5	49	0.17332503199577332	0.05969921	Yes	
row_1	COTL1	Cotl1	54	0.17013712227344513	0.14274539	Yes	
row_2	ACTR3	Actr3	88	0.12135029584169388	0.18526687	Yes	
row_3	ADD3	Add3	105	0.1017087772488594	0.2273686	Yes	
row_4	TPM4	Tpm4	117	0.09264743328094482	0.26770088	Yes	
row_5	CFL1	Cfl1	125	0.08953812718391418	0.30869228	Yes	
row_6	IQGAP2	Iqgap2	133	0.0856812372803688	0.34775078	Yes	
row_7	MYO1F	Myo1f	136	0.08515294641256332	0.38931614	Yes	
row_8	LCP1	Lcp1	151	0.07918258011341095	0.42123762	Yes	
row_9	ANXA6	Anxa6	174	0.07120715081691742	0.44472766	Yes	
row_10	MACF1	Macf1	338	0.03441057726740837	0.3716176	No	
row_11	RCSD1	Rcsd1	355	0.032348498702049255	0.37895972	No	
row_12	TLN1	Tln1	364	0.030862167477607727	0.38999158	No	
row_13	FLNA	Flna	420	0.0239020437002182	0.37148216	No	
row_14	GAS7	Gas7	498	0.01425121258944273	0.33594117	No	
row_15	TMOD4	Tmod4	510	0.01239063497632742	0.33605313	No	
row_16	ABLIM1	Ablim1	554	0.007647884078323841	0.3160499	No	
row_17	GSN	Gsn	603	0.0035862945951521397	0.29123962	No	
row_18	CTNNA1	Ctnna1	632	0.001421858905814588	0.2764311	No	
row_19	SYNE1	Syne1	728	-0.007225599139928818	0.22739145	No	
row_20	MAP1S	Map1s	739	-0.007803168147802353	0.22575873	No	
row_21	MYH9	Myh9	871	-0.01904963329434395	0.16268896	No	
row_22	CDK5R1	Cdk5r1	883	-0.019553184509277344	0.16639039	No	
row_23	TWF1	Twf1	932	-0.02267913892865181	0.15114841	No	
row_24	MYO6	Myo6	947	-0.024422038346529007	0.15562688	No	
row_25	HIP1	Hip1	1049	-0.03158200904726982	0.11546736	No	
row_26	SVIL	Svil	1073	-0.03336840495467186	0.11944035	No	
row_27	GAS2	Gas2	1084	-0.03426823392510414	0.13107048	No	
row_28	IQGAP1	Iqgap1	1179	-0.043699927628040314	0.100864075	No	
row_29	CYFIP1	Cyfip1	1295	-0.05528529733419418	0.06482283	No	
row_30	MYO19	Myo19	1413	-0.06802554428577423	0.03405766	No	
row_31	MYO5A	Myo5a	1440	-0.06974194943904877	0.054596115	No	
row_32	CAPG	Capg	1534	-0.08454262465238571	0.04541217	No	
row_33	ACTN1	Actn1	1653	-0.10324325412511826	0.031741872	No	
row_34	ACTN2	Actn2	1757	-0.14018596708774567	0.04490011	No	
