NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYL6	Myl6	28	0.2031542956829071	0.024785712	No	
row_1	CHD3	Chd3	107	0.1002161055803299	3.338945E-4	No	
row_2	MYO1F	Myo1f	136	0.08515294641256332	0.0014293916	No	
row_3	DICER1	Dicer1	235	0.052350759506225586	-0.04406055	No	
row_4	RFC1	Rfc1	240	0.05145522952079773	-0.036016	No	
row_5	ABCG2	Abcg2	247	0.04822779446840286	-0.02976225	No	
row_6	ABCG1	Abcg1	301	0.03920815885066986	-0.052176446	No	
row_7	MACF1	Macf1	338	0.03441057726740837	-0.06583953	No	
row_8	DDX6	Ddx6	447	0.020198145881295204	-0.12349879	No	
row_9	DDX3Y	Ddx3y	448	0.02016378566622734	-0.119450666	No	
row_10	SPO11	Spo11	464	0.018133530393242836	-0.124381565	No	
row_11	KIF1B	Kif1b	470	0.01761847920715809	-0.12370158	No	
row_12	DQX1	Dqx1	504	0.013426486402750015	-0.1398632	No	
row_13	KIF3A	Kif3a	548	0.008921386674046516	-0.16264354	No	
row_14	SETX	Setx	549	0.008813424035906792	-0.16087414	No	
row_15	SMARCA2	Smarca2	558	0.006966398097574711	-0.16404697	No	
row_16	ATP8A2	Atp8a2	582	0.005093539599329233	-0.17616725	No	
row_17	ATP2B1	Atp2b1	586	0.004867198411375284	-0.17690438	No	
row_18	ABCB10	Abcb10	594	0.0040385243482887745	-0.1800936	No	
row_19	XRCC2	Xrcc2	596	0.003888506907969713	-0.17988436	No	
row_20	ACSL1	Acsl1	618	0.002640421036630869	-0.19135426	No	
row_21	KIF5C	Kif5c	673	-0.002756456146016717	-0.221658	No	
row_22	BPTF	Bptf	685	-0.003637966001406312	-0.22721337	No	
row_23	MSH3	Msh3	713	-0.005626141559332609	-0.24151242	No	
row_24	RAD50	Rad50	715	-0.0058076330460608006	-0.24091789	No	
row_25	DDX58	Ddx58	760	-0.008882462978363037	-0.2642775	No	
row_26	ABCA1	Abca1	762	-0.009099787101149559	-0.263022	No	
row_27	SLC27A4	Slc27a4	770	-0.009861676953732967	-0.26504216	No	
row_28	KIFC3	Kifc3	803	-0.013671685010194778	-0.2805831	No	
row_29	ACSL3	Acsl3	807	-0.013781308196485043	-0.27953064	No	
row_30	DNAH8	Dnah8	835	-0.01635194756090641	-0.29167637	No	
row_31	CHD6	Chd6	840	-0.016747429966926575	-0.29059982	No	
row_32	HELZ	Helz	850	-0.017201969400048256	-0.29228917	No	
row_33	MYH9	Myh9	871	-0.01904963329434395	-0.2998933	No	
row_34	EIF4A2	Eif4a2	872	-0.019063252955675125	-0.2960661	No	
row_35	YTHDC2	Ythdc2	875	-0.01912449300289154	-0.2933695	No	
row_36	TOR3A	Tor3a	881	-0.019460421055555344	-0.29231972	No	
row_37	EIF4A1	Eif4a1	939	-0.02367580682039261	-0.32013795	No	
row_38	MYO6	Myo6	947	-0.024422038346529007	-0.3192349	No	
row_39	CHD4	Chd4	961	-0.024808218702673912	-0.32168293	No	
row_40	CHD1	Chd1	964	-0.024953670799732208	-0.31781605	No	
row_41	AQR	Aqr	967	-0.02526749111711979	-0.31388614	No	
row_42	CARNS1	Carns1	976	-0.025960648432374	-0.31324565	No	
row_43	ATP8B4	Atp8b4	1060	-0.03247910737991333	-0.35415363	No	
row_44	KIF2A	Kif2a	1085	-0.034333184361457825	-0.36097512	No	
row_45	RALBP1	Ralbp1	1088	-0.034919269382953644	-0.35510752	No	
row_46	SMC6	Smc6	1139	-0.03968470171093941	-0.37571174	No	
row_47	ERCC6L	Ercc6l	1153	-0.04127506911754608	-0.37485385	No	
row_48	DDX21	Ddx21	1168	-0.042728740721940994	-0.3742755	No	
row_49	KATNAL1	Katnal1	1237	-0.04912596195936203	-0.40327004	Yes	
row_50	ERCC6L2	Ercc6l2	1244	-0.05000385269522667	-0.3966597	Yes	
row_51	MSH5	Msh5	1251	-0.050358179956674576	-0.38997826	Yes	
row_52	IFIH1	Ifih1	1271	-0.052313290536403656	-0.39033288	Yes	
row_53	KIF18A	Kif18a	1308	-0.0568016953766346	-0.39950067	Yes	
row_54	FANCM	Fancm	1334	-0.059299614280462265	-0.40188125	Yes	
row_55	ABCB1	Abcb1a	1337	-0.059690624475479126	-0.39104047	Yes	
row_56	DDX5	Ddx5	1345	-0.0601230189204216	-0.38297006	Yes	
row_57	KIFC1	Kifc5b	1348	-0.06070354953408241	-0.37192592	Yes	
row_58	BLM	Blm	1351	-0.06140244007110596	-0.3607415	Yes	
row_59	ASCC3	Ascc3	1409	-0.0676877424120903	-0.3797238	Yes	
row_60	MYO19	Myo19	1413	-0.06802554428577423	-0.3677811	Yes	
row_61	MYO5A	Myo5a	1440	-0.06974194943904877	-0.3686367	Yes	
row_62	KIF23	Kif23	1468	-0.07564869523048401	-0.36887786	Yes	
row_63	CHD2	Chd2	1506	-0.08029770106077194	-0.37389997	Yes	
row_64	TOP2B	Top2b	1517	-0.081558957695961	-0.3632403	Yes	
row_65	RNF213	Rnf213	1533	-0.08415919542312622	-0.35491574	Yes	
row_66	TAP1	Tap1	1538	-0.08533468842506409	-0.34006947	Yes	
row_67	CHD9	Chd9	1539	-0.08533844351768494	-0.32293674	Yes	
row_68	ATRX	Atrx	1546	-0.08613325655460358	-0.309073	Yes	
row_69	KIF20B	Kif20b	1559	-0.0886993482708931	-0.29812267	Yes	
