NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCR5	Ccr5	2	0.33499446511268616	0.13302223	Yes	
row_1	CCR2	Ccr2	6	0.30017155408859253	0.25155047	Yes	
row_2	KLRD1	Klrd1	44	0.17951525747776031	0.30301678	Yes	
row_3	IL4R	Il4ra	98	0.10935236513614655	0.31756607	Yes	
row_4	IFNGR1	Ifngr1	114	0.09409677982330322	0.34696704	Yes	
row_5	CXCR3	Cxcr3	118	0.09245146065950394	0.38232812	Yes	
row_6	IL2RB	Il2rb	146	0.08085942268371582	0.39981025	Yes	
row_7	CXCR6	Cxcr6	149	0.08062325417995453	0.43098712	Yes	
row_8	KLRC1	Klrc1	180	0.06984464824199677	0.44240442	Yes	
row_9	IL15RA	Il15ra	203	0.0622033067047596	0.45517486	Yes	
row_10	CD160	Cd160	213	0.05931650847196579	0.4739599	Yes	
row_11	IL6ST	Il6st	384	0.027645453810691833	0.39126137	No	
row_12	CXCR5	Cxcr5	486	0.015545480884611607	0.34177673	No	
row_13	CXCR4	Cxcr4	633	0.0013894559815526009	0.26180354	No	
row_14	IL10RA	Il10ra	656	-0.0014366357354447246	0.25024414	No	
row_15	HLA-DOB	H2-Ob	680	-0.003123111091554165	0.23880842	No	
row_16	FCER1G	Fcer1g	682	-0.0033066733740270138	0.23958078	No	
row_17	CR2	Cr2	1312	-0.05718065798282623	-0.08446393	No	
row_18	IL18RAP	Il18rap	1326	-0.05895303189754486	-0.0680307	No	
row_19	CX3CR1	Cx3cr1	1359	-0.062084585428237915	-0.060823526	No	
row_20	IL7R	Il7r	1525	-0.08284007757902145	-0.118665315	No	
row_21	CCR9	Ccr9	1698	-0.11710519343614578	-0.16664901	No	
row_22	IL6R	Il6ra	1734	-0.12930835783481598	-0.13418144	No	
row_23	IL18R1	Il18r1	1773	-0.15086795389652252	-0.09473653	No	
row_24	CCR7	Ccr7	1783	-0.15660057961940765	-0.037000798	No	
row_25	IFNGR2	Ifngr2	1795	-0.1668056696653366	0.023717707	No	
