NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CALM3	Calm2	13	0.2538653612136841	0.066861294	No	
row_1	MALT1	Malt1	92	0.11701175570487976	0.057495985	No	
row_2	GMFG	Gmfg	100	0.10524439066648483	0.08431574	No	
row_3	CDKN2C	Cdkn2c	135	0.08533194661140442	0.09025511	No	
row_4	RAC2	Rac2	145	0.08114214986562729	0.10892217	No	
row_5	CCNJ	Ccnj	168	0.07346756756305695	0.118094176	No	
row_6	APC	Apc	191	0.06486698240041733	0.12475525	No	
row_7	TAOK3	Taok3	192	0.06407351046800613	0.14346145	No	
row_8	CCNL1	Ccnl1	317	0.037305209785699844	0.08515624	No	
row_9	STK3	Stk3	408	0.025420427322387695	0.042354494	No	
row_10	TRIB2	Trib2	469	0.017638150602579117	0.014021792	No	
row_11	HEXIM2	Hexim2	472	0.017401663586497307	0.01798612	No	
row_12	ERBB3	Erbb3	590	0.004417372401803732	-0.046014413	No	
row_13	PIK3R5	Pik3r5	602	0.003621370531618595	-0.05109555	No	
row_14	RPLP1	Rplp1	689	-0.003929081838577986	-0.09793953	No	
row_15	PARP16	Parp16	779	-0.011022783815860748	-0.14438662	No	
row_16	RICTOR	Rictor	825	-0.015630794689059258	-0.16493483	No	
row_17	CDK5R1	Cdk5r1	883	-0.019553184509277344	-0.19103433	No	
row_18	WNK1	Wnk1	921	-0.02196892909705639	-0.20526785	No	
row_19	CALM1	Calm1	949	-0.024458788335323334	-0.21319409	No	
row_20	CCNT1	Ccnt1	983	-0.026428094133734703	-0.22389361	No	
row_21	NPM1	Npm1	1025	-0.029575416818261147	-0.23813856	No	
row_22	CISH	Cish	1051	-0.031675271689891815	-0.24284188	No	
row_23	EGF	Egf	1076	-0.03367144986987114	-0.2464044	No	
row_24	CCND3	Ccnd3	1079	-0.03401808440685272	-0.23758891	No	
row_25	TESC	Tesc	1101	-0.03628936782479286	-0.23871303	No	
row_26	IBTK	Ibtk	1108	-0.036858078092336655	-0.23130055	No	
row_27	DAXX	Daxx	1135	-0.039269693195819855	-0.23434474	No	
row_28	CDKN1B	Cdkn1b	1173	-0.04317750409245491	-0.24238642	No	
row_29	IQGAP1	Iqgap1	1179	-0.043699927628040314	-0.23241845	No	
row_30	RHOH	Rhoh	1198	-0.045652613043785095	-0.22913484	No	
row_31	PRKAR2B	Prkar2b	1249	-0.050285547971725464	-0.24235581	No	
row_32	PIK3CA	Pik3ca	1261	-0.051068015396595	-0.23358494	No	
row_33	IRGM	Irgm2	1470	-0.07586164772510529	-0.32750863	No	
row_34	DBF4	Dbf4	1581	-0.09055541455745697	-0.362455	No	
row_35	CASP3	Casp3	1639	-0.10065294802188873	-0.3648775	Yes	
row_36	CKS2	Cks2	1641	-0.10171052068471909	-0.33574125	Yes	
row_37	SOCS3	Socs3	1677	-0.11080487072467804	-0.32292312	Yes	
row_38	ALS2	Als2	1680	-0.11111506074666977	-0.29159924	Yes	
row_39	SOCS1	Socs1	1691	-0.11514008045196533	-0.26356456	Yes	
row_40	CCND2	Ccnd2	1753	-0.1381314992904663	-0.25727737	Yes	
row_41	SH3BP5	Sh3bp5	1759	-0.14144571125507355	-0.2187726	Yes	
row_42	CKS1B	Cks1b	1777	-0.15269169211387634	-0.18368101	Yes	
row_43	CCNB1	Ccnb1	1799	-0.1683269888162613	-0.14625685	Yes	
row_44	CCL5	Ccl5	1808	-0.18249179422855377	-0.09744281	Yes	
row_45	HSP90AB1	Hsp90ab1	1817	-0.1897011250257492	-0.04652403	Yes	
row_46	RGCC	Rgcc	1821	-0.19758445024490356	0.009486467	Yes	
