NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EP300	Ep300	189	0.06600392609834671	-0.05786775	No	
row_1	JMJD1C	Jmjd1c	309	0.03841213881969452	-0.096510805	No	
row_2	ZBTB7A	Zbtb7a	333	0.0350961908698082	-0.084559284	No	
row_3	NCOR1	Ncor1	426	0.023203810676932335	-0.11899138	No	
row_4	NR4A1	Nr4a1	445	0.02044553868472576	-0.114565425	No	
row_5	NCOA1	Ncoa1	505	0.01334781851619482	-0.13772267	No	
row_6	BAZ2A	Baz2a	654	-0.0013875517761334777	-0.21833652	No	
row_7	HMGN3	Hmgn3	765	-0.009432538412511349	-0.2723562	No	
row_8	TAF1	Taf1	864	-0.018336646258831024	-0.3135117	No	
row_9	NCOA2	Ncoa2	879	-0.019328778609633446	-0.30766442	No	
row_10	LRIF1	Lrif1	920	-0.021958697587251663	-0.3143044	No	
row_11	NSD1	Nsd1	923	-0.022063247859477997	-0.29992285	No	
row_12	OASL	Oasl1	1090	-0.03535730019211769	-0.3666194	No	
row_13	DAXX	Daxx	1135	-0.039269693195819855	-0.36331552	No	
row_14	NR4A3	Nr4a3	1323	-0.05863364413380623	-0.42525324	Yes	
row_15	DDX5	Ddx5	1345	-0.0601230189204216	-0.39463523	Yes	
row_16	LEF1	Lef1	1354	-0.061490967869758606	-0.35589072	Yes	
row_17	JUND	Jund	1392	-0.06518123298883438	-0.3305431	Yes	
row_18	NRIP1	Nrip1	1404	-0.06714659929275513	-0.28948322	Yes	
row_19	THRAP3	Thrap3	1491	-0.0778612270951271	-0.28224888	Yes	
row_20	CALR	Calr	1602	-0.09443475306034088	-0.27661356	Yes	
row_21	RARG	Rarg	1606	-0.09524718672037125	-0.21142241	Yes	
row_22	BRD8	Brd8	1735	-0.12992164492607117	-0.19080505	Yes	
row_23	STAT1	Stat1	1786	-0.15820293128490448	-0.10734083	Yes	
row_24	NCOA7	Ncoa7	1818	-0.19300995767116547	0.011025218	Yes	
