NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JAK1	Jak1	3	0.3247438371181488	0.20376663	Yes	
row_1	TXK	Txk	43	0.18118487298488617	0.2969681	Yes	
row_2	PEAK1	Peak1	55	0.16802279651165009	0.3972118	Yes	
row_3	FYN	Fyn	66	0.15701131522655487	0.4910391	Yes	
row_4	SLA	Sla	70	0.15047454833984375	0.5845736	Yes	
row_5	CRIM1	Crim1	176	0.07021567225456238	0.5713588	No	
row_6	TEC	Tec	528	0.010524502955377102	0.3853705	No	
row_7	ERBB3	Erbb3	590	0.004417372401803732	0.35468495	No	
row_8	DYRK4	Dyrk4	698	-0.0047210706397891045	0.29894453	No	
row_9	EPHB6	Ephb6	785	-0.011715104803442955	0.25915393	No	
row_10	HIPK1	Hipk1	821	-0.015187840908765793	0.24955118	No	
row_11	IGF1R	Igf1r	880	-0.01936536654829979	0.22996737	No	
row_12	DSTYK	Dstyk	1266	-0.05153324455022812	0.05125791	No	
row_13	NTRK3	Ntrk3	1311	-0.057084351778030396	0.06321671	No	
row_14	MATK	Matk	1683	-0.11221719533205032	-0.06942392	No	
row_15	EIF2AK2	Eif2ak2	1684	-0.11255605518817902	0.0017721867	No	
row_16	BAZ1B	Baz1b	1736	-0.1299547702074051	0.05598244	No	
