NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JAK1	Jak1	3	0.3247438371181488	0.020359755	No	
row_1	CCR2	Ccr2	6	0.30017155408859253	0.039646022	No	
row_2	XCL1	Xcl1	9	0.2705119550228119	0.056907233	No	
row_3	CALM3	Calm2	13	0.2538653612136841	0.07242764	No	
row_4	IGHM	Ighm	18	0.22808119654655457	0.08558335	No	
row_5	GNAS	Gnas	26	0.20340104401111603	0.0952413	No	
row_6	SYTL2	Sytl2	29	0.20187465846538544	0.10781618	No	
row_7	HCST	Hcst	33	0.1943213939666748	0.11927112	No	
row_8	CCL4	Ccl4	34	0.19268809258937836	0.13242723	No	
row_9	SNX5	Snx5	37	0.184285506606102	0.14380118	No	
row_10	CD2	Cd2	40	0.1825457364320755	0.15505634	No	
row_11	KLRD1	Klrd1	44	0.17951525747776031	0.16550037	No	
row_12	PIK3AP1	Pik3ap1	65	0.15775424242019653	0.16418672	No	
row_13	FYN	Fyn	66	0.15701131522655487	0.17490694	No	
row_14	PYCARD	Pycard	68	0.1533399075269699	0.18477225	No	
row_15	SLA	Sla	70	0.15047454833984375	0.19444193	No	
row_16	ARRB2	Arrb2	84	0.13318657875061035	0.19568048	No	
row_17	GMFG	Gmfg	100	0.10524439066648483	0.19380279	No	
row_18	TNFSF14	Tnfsf14	108	0.09985554963350296	0.19639099	No	
row_19	STAP1	Stap1	115	0.09344976395368576	0.19914605	No	
row_20	LCP1	Lcp1	151	0.07918258011341095	0.18340434	No	
row_21	ITGB1	Itgb1	154	0.077346071600914	0.18747681	No	
row_22	LY96	Ly96	163	0.07489465922117233	0.18775654	No	
row_23	SELPLG	Selplg	166	0.07391941547393799	0.19159506	No	
row_24	GLA	Gla	173	0.07207214087247849	0.19289052	No	
row_25	QRFP	Qrfp	175	0.07102033495903015	0.19713533	No	
row_26	RNF43	Rnf43	179	0.06984835118055344	0.20009166	No	
row_27	NEDD4	Nedd4	183	0.06828422099351883	0.2029412	No	
row_28	EP300	Ep300	189	0.06600392609834671	0.20442657	No	
row_29	DOK2	Dok2	194	0.06403631716966629	0.20638184	No	
row_30	TESPA1	Tespa1	195	0.06358366459608078	0.21072313	No	
row_31	F2RL1	F2rl1	197	0.0633266270160675	0.21444264	No	
row_32	PTPRC	Ptprc	200	0.06255877017974854	0.21750548	No	
row_33	CPNE3	Cpne3	207	0.06092708185315132	0.21804	No	
row_34	CD160	Cd160	213	0.05931650847196579	0.2190688	No	
