NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOMF_INTEGRIN_BINDING	GOMF_INTEGRIN_BINDING	Details ...	18	-0.65178686	-2.1361887	0.0	0.0	0.0	339	tags=56%, list=18%, signal=67%	
GOMF_DOUBLE_STRANDED_RNA_BINDING	GOMF_DOUBLE_STRANDED_RNA_BINDING	Details ...	27	-0.5896688	-1.8803867	0.0	0.039506372	0.03	316	tags=44%, list=17%, signal=53%	
GOMF_RNA_BINDING	GOMF_RNA_BINDING	Details ...	267	-0.36774465	-1.8303427	0.0	0.05608504	0.1	584	tags=43%, list=32%, signal=53%	
GOMF_CELL_ADHESION_MOLECULE_BINDING	GOMF_CELL_ADHESION_MOLECULE_BINDING	Details ...	83	-0.39755136	-1.7624307	0.0	0.10464932	0.21	340	tags=35%, list=18%, signal=41%	
GOMF_TRANSCRIPTION_COREGULATOR_ACTIVITY	GOMF_TRANSCRIPTION_COREGULATOR_ACTIVITY	Details ...	82	-0.41135165	-1.7364365	0.0	0.12109426	0.3	467	tags=39%, list=25%, signal=50%	
GOMF_ATPASE_ACTIVITY	GOMF_ATPASE_ACTIVITY	Details ...	89	-0.41378638	-1.6063526	0.0	0.32653332	0.67	506	tags=39%, list=28%, signal=52%	
GOMF_TRANSCRIPTION_COACTIVATOR_ACTIVITY	GOMF_TRANSCRIPTION_COACTIVATOR_ACTIVITY	Details ...	41	-0.43671018	-1.5978107	0.018867925	0.29035836	0.68	460	tags=44%, list=25%, signal=57%	
GOMF_CATALYTIC_ACTIVITY_ACTING_ON_DNA	GOMF_CATALYTIC_ACTIVITY_ACTING_ON_DNA	Details ...	41	-0.4637087	-1.5939271	0.015873017	0.26201427	0.69	506	tags=46%, list=28%, signal=63%	
GOMF_SINGLE_STRANDED_DNA_BINDING	GOMF_SINGLE_STRANDED_DNA_BINDING	Details ...	26	-0.48874173	-1.5931101	0.031746034	0.23549141	0.69	331	tags=50%, list=18%, signal=60%	
GOMF_TRANSITION_METAL_ION_BINDING	GOMF_TRANSITION_METAL_ION_BINDING	Details ...	116	-0.35553315	-1.5812021	0.0	0.22708687	0.73	519	tags=34%, list=28%, signal=45%	
GOMF_ZINC_ION_BINDING	GOMF_ZINC_ION_BINDING	Details ...	106	-0.3558676	-1.5419801	0.014285714	0.26010638	0.81	519	tags=35%, list=28%, signal=46%	
GOMF_MICROTUBULE_MOTOR_ACTIVITY	GOMF_MICROTUBULE_MOTOR_ACTIVITY	Details ...	15	-0.55744183	-1.5126666	0.07017544	0.28761613	0.87	532	tags=47%, list=29%, signal=65%	
GOMF_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY	GOMF_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY	Details ...	35	-0.44977906	-1.511284	0.037037037	0.26894632	0.87	453	tags=34%, list=25%, signal=45%	
GOMF_HISTONE_BINDING	GOMF_HISTONE_BINDING	Details ...	52	-0.39420262	-1.5062834	0.035714287	0.26379156	0.88	638	tags=42%, list=35%, signal=63%	
GOMF_KINASE_REGULATOR_ACTIVITY	GOMF_KINASE_REGULATOR_ACTIVITY	Details ...	47	-0.39426303	-1.4922091	0.016393442	0.2708578	0.89	201	tags=26%, list=11%, signal=28%	
GOMF_RIBONUCLEASE_ACTIVITY	GOMF_RIBONUCLEASE_ACTIVITY	Details ...	15	-0.508808	-1.4821512	0.035714287	0.27158508	0.89	249	tags=33%, list=14%, signal=38%	
GOMF_NUCLEAR_HORMONE_RECEPTOR_BINDING	GOMF_NUCLEAR_HORMONE_RECEPTOR_BINDING	Details ...	25	-0.46640262	-1.4668909	0.057692308	0.28035417	0.91	517	tags=44%, list=28%, signal=60%	
