NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KMT2D	Kmt2d	267	0.044133760035037994	-0.10823379	No	
row_1	GAPDH	Gapdh	365	0.030528191477060318	-0.13502604	No	
row_2	ELF1	Elf1	437	0.021637847647070885	-0.15524842	No	
row_3	KDM2A	Kdm2a	774	-0.01057492196559906	-0.33031833	No	
row_4	USP16	Usp16	827	-0.01568670943379402	-0.345268	No	
row_5	CALM1	Calm1	949	-0.024458788335323334	-0.39046434	No	
row_6	RC3H1	Rc3h1	1321	-0.05849039554595947	-0.5433063	Yes	
row_7	RDH12	Rdh12	1407	-0.06743109971284866	-0.5316219	Yes	
row_8	ATRX	Atrx	1546	-0.08613325655460358	-0.532829	Yes	
row_9	MAT2A	Mat2a	1568	-0.08971535414457321	-0.4667951	Yes	
row_10	RALGPS2	Ralgps2	1612	-0.09579454362392426	-0.40756795	Yes	
row_11	CELSR2	Celsr2	1659	-0.10648997873067856	-0.34074077	Yes	
row_12	HOMER1	Homer1	1690	-0.11454865336418152	-0.258176	Yes	
row_13	SMC2	Smc2	1789	-0.16029207408428192	-0.1733528	Yes	
row_14	RPS3A	Rps3a1	1832	-0.23099972307682037	0.0032895678	Yes	
