NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TXNDC5	Txndc5	14	0.24453464150428772	0.019273454	No	
row_1	LRRK1	Lrrk1	19	0.22684648633003235	0.0423871	No	
row_2	ACTB	Actb	41	0.18240998685359955	0.050615724	No	
row_3	RPL32	Rpl32	42	0.18161417543888092	0.07098573	No	
row_4	ZYX	Zyx	57	0.16501785814762115	0.08134051	No	
row_5	RPLP0	Rplp0	63	0.15909716486930847	0.09627292	No	
row_6	STARD10	Stard10	64	0.1590958535671234	0.11411725	No	
row_7	ZFP36	Zfp36	111	0.09575556218624115	0.09806636	No	
row_8	TPM4	Tpm4	117	0.09264743328094482	0.10554572	No	
row_9	CFL1	Cfl1	125	0.08953812718391418	0.11151151	No	
row_10	BBS2	Bbs2	147	0.08069637417793274	0.10833185	No	
row_11	KLHDC2	Klhdc2	153	0.07770875096321106	0.114135675	No	
row_12	DUSP6	Dusp6	199	0.06273907423019409	0.094964035	No	
row_13	DNAJC21	Dnajc21	209	0.060371991246938705	0.09649371	No	
row_14	FBXL18	Fbxl18	253	0.04744882881641388	0.07677193	No	
row_15	SLC26A11	Slc26a11	276	0.04253154247999191	0.06872926	No	
row_16	JARID2	Jarid2	290	0.041062477976083755	0.06576351	No	
row_17	RALB	Ralb	296	0.0403098538517952	0.06737264	No	
row_18	KLF7	Klf7	315	0.03740835562348366	0.061084997	No	
row_19	PCYT1A	Pcyt1a	323	0.03643500804901123	0.061094698	No	
row_20	NEMF	Nemf	346	0.033064380288124084	0.05199018	No	
row_21	TLN1	Tln1	364	0.030862167477607727	0.04555072	No	
row_22	CSPP1	Cspp1	409	0.02531297691166401	0.02276375	No	
row_23	NCOR1	Ncor1	426	0.023203810676932335	0.01604773	No	
row_24	HCFC2	Hcfc2	432	0.022413073107600212	0.015649542	No	
row_25	DDX6	Ddx6	447	0.020198145881295204	0.009761227	No	
row_26	TSPO	Tspo	476	0.017114687711000443	-0.004626688	No	
row_27	KTN1	Ktn1	480	0.016110217198729515	-0.004566986	No	
row_28	MAML3	Maml3	482	0.016004202887415886	-0.0033543524	No	
row_29	ZNF3	Zfp113	526	0.011087015271186829	-0.027154505	No	
row_30	KIF3A	Kif3a	548	0.008921386674046516	-0.03838451	No	
row_31	DCAF17	Dcaf17	551	0.00825917162001133	-0.038622975	No	
row_32	RANBP2	Ranbp2	566	0.006421880330890417	-0.04605645	No	
row_33	ACSL1	Acsl1	618	0.002640421036630869	-0.075463265	No	
row_34	PNPLA8	Pnpla8	623	0.0022080468479543924	-0.077545255	No	
row_35	ZZZ3	Zzz3	625	0.001998030813410878	-0.07790357	No	
row_36	ZNF639	Zfp639	642	6.575411534868181E-4	-0.0871484	No	
row_37	FRMD4B	Frmd4b	686	-0.003811151022091508	-0.11176462	No	
row_38	RACGAP1	Racgap1	693	-0.004059126600623131	-0.114803806	No	
row_39	DAG1	Dag1	704	-0.00510537950322032	-0.120055296	No	
row_40	DCXR	Dcxr	729	-0.007262983359396458	-0.13321854	No	
row_41	NUCB2	Nucb2	746	-0.008289345540106297	-0.14160737	No	
row_42	NSA2	Nsa2	751	-0.00862263236194849	-0.1429699	No	
row_43	PARP16	Parp16	779	-0.011022783815860748	-0.15745868	No	
row_44	NSRP1	Nsrp1	783	-0.011522961780428886	-0.15791349	No	
row_45	ZBTB1	Zbtb1	792	-0.012565022334456444	-0.16116348	No	
row_46	ARHGAP5	Arhgap5	804	-0.013685089536011219	-0.16603507	No	
row_47	CCDC59	Ccdc59	818	-0.014863425865769386	-0.17193931	No	
row_48	TPP2	Tpp2	843	-0.016910001635551453	-0.18402055	No	
row_49	NOP14	Nop14	858	-0.017898807302117348	-0.19016676	No	
row_50	CITED2	Cited2	898	-0.020316509529948235	-0.21060207	No	
row_51	MMP11	Mmp11	922	-0.02203487418591976	-0.22152609	No	
row_52	PKNOX1	Pknox1	943	-0.02395780198276043	-0.23048718	No	
row_53	IRF2BP2	Irf2bp2	944	-0.024122580885887146	-0.22778158	No	
row_54	PRDM1	Prdm1	955	-0.024555660784244537	-0.2308515	No	
row_55	CEP83	Cep83	968	-0.025297118350863457	-0.23500308	No	
row_56	SLC5A3	Slc5a3	988	-0.026699069887399673	-0.24307431	No	
row_57	BRD9	Brd9	993	-0.026973741129040718	-0.24237856	No	
row_58	CAPRIN2	Caprin2	1019	-0.02904723584651947	-0.25368088	No	
row_59	KLHL8	Klhl8	1021	-0.029169874265789986	-0.25099158	No	
row_60	DCLRE1B	Dclre1b	1033	-0.030581625178456306	-0.25396803	No	
row_61	MSMO1	Msmo1	1081	-0.03416375815868378	-0.2775095	No	
row_62	INO80D	Ino80d	1083	-0.03420771658420563	-0.27425516	No	
row_63	ITGA6	Itga6	1113	-0.0375295951962471	-0.28693575	No	
row_64	GRK4	Grk4	1128	-0.038670286536216736	-0.2907522	No	
row_65	NDRG2	Ndrg2	1129	-0.03872429579496384	-0.28640884	No	
row_66	CDK13	Cdk13	1144	-0.04003532975912094	-0.2900722	No	
row_67	MYBBP1A	Mybbp1a	1147	-0.04018823802471161	-0.28672948	No	
