NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ARL6IP1	Arl6ip1	60	0.1601950079202652	-0.0012618089	No	
row_1	RPS15A	Rps15a	91	0.11754590272903442	0.0058134873	No	
row_2	KLHL20	Klhl20	225	0.055381495505571365	-0.058659945	No	
row_3	SPEF2	Spef2	271	0.04291149601340294	-0.07549982	No	
row_4	GABPB2	Gabpb2	281	0.04192030802369118	-0.07200743	No	
row_5	CCNL1	Ccnl1	317	0.037305209785699844	-0.08429647	No	
row_6	PCYT1A	Pcyt1a	323	0.03643500804901123	-0.07965106	No	
row_7	RASGEF1B	Rasgef1b	341	0.034019794315099716	-0.08234806	No	
row_8	KDM5A	Kdm5a	350	0.03274759277701378	-0.08017281	No	
row_9	TSC22D4	Tsc22d4	363	0.030874228104948997	-0.08066486	No	
row_10	C17orf75	5730455P16Rik	368	0.029906338080763817	-0.07679248	No	
row_11	DNAJC25	Dnajc25	387	0.02739640139043331	-0.08142291	No	
row_12	OTUD7B	Otud7b	435	0.021844469010829926	-0.10373889	No	
row_13	ELF1	Elf1	437	0.021637847647070885	-0.09985667	No	
row_14	TBL1X	Tbl1x	456	0.01940070651471615	-0.10613246	No	
row_15	ACOT7	Acot7	471	0.017430074512958527	-0.11053198	No	
row_16	ARHGEF12	Arhgef12	479	0.01621590182185173	-0.111188196	No	
row_17	CCDC88A	Ccdc88a	494	0.014800889417529106	-0.11612875	No	
row_18	NOL8	Nol8	500	0.014169118367135525	-0.11606526	No	
row_19	ZNF3	Zfp113	526	0.011087015271186829	-0.12804502	No	
row_20	FCHSD2	Fchsd2	531	0.010356822982430458	-0.12819557	No	
row_21	ARID4B	Arid4b	535	0.009864271618425846	-0.12787704	No	
row_22	SLC4A1AP	Slc4a1ap	599	0.0037498604506254196	-0.16304378	No	
row_23	STAT3	Stat3	609	0.003381656017154455	-0.16748194	No	
row_24	TRIM2	Trim2	620	0.002582953777164221	-0.17265493	No	
row_25	FNBP1	Fnbp1	635	0.001226120046339929	-0.18038893	No	
row_26	PHIP	Phip	648	-7.625482394360006E-4	-0.18707742	No	
row_27	BAZ2A	Baz2a	654	-0.0013875517761334777	-0.18964414	No	
row_28	PIAS3	Pias3	662	-0.0018874680390581489	-0.19324888	No	
row_29	KIAA0586	2700049A03Rik	690	-0.0039488449692726135	-0.20783845	No	
row_30	FAM133B	Fam133b	721	-0.006631814409047365	-0.22358726	No	
row_31	CENPP	Cenpp	737	-0.007700385991483927	-0.23055942	No	
row_32	CAMKK1	Camkk1	742	-0.007948080077767372	-0.23120566	No	
row_33	NSA2	Nsa2	751	-0.00862263236194849	-0.23399489	No	
row_34	PAXBP1	Paxbp1	791	-0.012473096139729023	-0.25367573	No	
row_35	REEP5	Reep5	812	-0.014271796680986881	-0.26214784	No	
row_36	CCDC59	Ccdc59	818	-0.014863425865769386	-0.2619415	No	
row_37	ZC3H6	Zc3h6	838	-0.016582166776061058	-0.26936772	No	
row_38	ZSCAN25	Zscan25	849	-0.017168579623103142	-0.27153927	No	
row_39	PLEKHG5	Plekhg5	859	-0.01797669380903244	-0.27297404	No	
row_40	ZNF821	Zfp821	888	-0.019860994070768356	-0.28485963	No	
row_41	IFT74	Ift74	908	-0.02115042880177498	-0.2913458	No	
row_42	TGS1	Tgs1	914	-0.021654918789863586	-0.28974187	No	
row_43	CCDC77	Ccdc77	933	-0.023054353892803192	-0.29526582	No	
row_44	ZEB2	Zeb2	941	-0.023820962756872177	-0.29435706	No	
row_45	PKNOX1	Pknox1	943	-0.02395780198276043	-0.28999743	No	
row_46	CALM1	Calm1	949	-0.024458788335323334	-0.2878165	No	
row_47	ATP6V0E2	Atp6v0e2	1050	-0.031599272042512894	-0.338359	No	
row_48	LIG4	Lig4	1067	-0.03295683115720749	-0.3407043	No	
row_49	TGIF1	Tgif1	1068	-0.033031776547431946	-0.33390695	No	
row_50	ARHGEF16	Arhgef16	1112	-0.03730367496609688	-0.35075992	No	
row_51	RAB11FIP2	Rab11fip2	1124	-0.038314249366521835	-0.3491505	No	
row_52	MTF2	Mtf2	1233	-0.04867782071232796	-0.40074214	No	
row_53	ATP2B4	Atp2b4	1238	-0.049256712198257446	-0.39288783	No	
row_54	DSTYK	Dstyk	1266	-0.05153324455022812	-0.39768538	No	
row_55	TBC1D19	Tbc1d19	1272	-0.052388694137334824	-0.38975698	No	
row_56	IER5	Ier5	1292	-0.05517828091979027	-0.38924086	No	
row_57	PRKAB2	Prkab2	1327	-0.059016451239585876	-0.39649168	No	
row_58	FANCM	Fancm	1334	-0.059299614280462265	-0.38771158	No	
row_59	KMT2A	Kmt2a	1356	-0.06186157464981079	-0.38696107	No	
row_60	TSC1	Tsc1	1423	-0.06843360513448715	-0.41052842	Yes	
row_61	SREK1IP1	Srek1ip1	1443	-0.07036501914262772	-0.4068871	Yes	
row_62	NME1	Nme1	1450	-0.07213856279850006	-0.39546502	Yes	
row_63	MITD1	Mitd1	1479	-0.07697122544050217	-0.39559835	Yes	
row_64	KDM3B	Kdm3b	1483	-0.07731504738330841	-0.38139966	Yes	
row_65	SSBP2	Ssbp2	1531	-0.08387190103530884	-0.39095154	Yes	
row_66	RFC3	Rfc3	1565	-0.08910662680864334	-0.39143988	Yes	
row_67	MDFIC	Mdfic	1579	-0.09041951596736908	-0.38024902	Yes	
row_68	RPS7	Rps7	1585	-0.09125418961048126	-0.36432284	Yes	
row_69	HIVEP1	Hivep1	1603	-0.094541996717453	-0.35456547	Yes	
row_70	ARID5B	Arid5b	1644	-0.10205573588609695	-0.35638228	Yes	
row_71	FAAH	Faah	1665	-0.10758986324071884	-0.34565124	Yes	
row_72	HNRNPA1	Hnrnpa1	1667	-0.1080637201666832	-0.32398415	Yes	
row_73	HOMER1	Homer1	1690	-0.11454865336418152	-0.312962	Yes	
row_74	FUS	Fus	1699	-0.11723325401544571	-0.29340112	Yes	
row_75	MPHOSPH10	Mphosph10	1707	-0.12029734998941422	-0.27263927	Yes	
row_76	CD8A	Cd8a	1711	-0.1211993619799614	-0.24940999	Yes	
row_77	ILF2	Ilf2	1714	-0.12224124372005463	-0.22539586	Yes	
row_78	ID2	Id2	1750	-0.13673196732997894	-0.21722467	Yes	
row_79	RPL22L1	Rpl22l1	1758	-0.14045178890228271	-0.1923154	Yes	
row_80	PCLAF	Pclaf	1772	-0.1505996435880661	-0.16874057	Yes	
row_81	SLFN5	Slfn5	1778	-0.15314120054244995	-0.14007914	Yes	
row_82	CDK1	Cdk1	1809	-0.18272265791893005	-0.11959165	Yes	
row_83	RPS8	Rps8	1815	-0.18873290717601776	-0.083606094	Yes	
row_84	HSP90AB1	Hsp90ab1	1817	-0.1897011250257492	-0.045139488	Yes	
row_85	PTMA	Ptma	1835	-0.27479875087738037	0.0017114585	Yes	
