NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ID3	Id3	50	0.17308126389980316	-0.0031502694	No	
row_1	PKP4	Pkp4	129	0.08826208859682083	-0.035193086	No	
row_2	CYB5D1	Cyb5d1	142	0.08224567025899887	-0.02987308	No	
row_3	CHPT1	Chpt1	155	0.0771249458193779	-0.02531743	No	
row_4	ARID4A	Arid4a	246	0.04915753751993179	-0.070153765	No	
row_5	RC3H2	Rc3h2	275	0.04256268963217735	-0.08003247	No	
row_6	ULK4	Ulk4	284	0.041674066334962845	-0.07844961	No	
row_7	GOLIM4	Golim4	304	0.03861778974533081	-0.083699755	No	
row_8	KLF7	Klf7	315	0.03740835562348366	-0.08391304	No	
row_9	CCNL1	Ccnl1	317	0.037305209785699844	-0.07892433	No	
row_10	PCYT1A	Pcyt1a	323	0.03643500804901123	-0.07638436	No	
row_11	TOB1	Tob1	330	0.03552950918674469	-0.07455925	No	
row_12	DDIT4	Ddit4	332	0.03516000509262085	-0.069890745	No	
row_13	RASGEF1B	Rasgef1b	341	0.034019794315099716	-0.069450416	No	
row_14	MAST4	Mast4	352	0.03246506303548813	-0.070401564	No	
row_15	PHF19	Phf19	362	0.031094824895262718	-0.07097754	No	
row_16	AHI1	Ahi1	395	0.026521572843194008	-0.085569486	No	
row_17	POMT2	Pomt2	483	0.01583106629550457	-0.13364121	No	
row_18	HAUS8	Haus8	506	0.01312832161784172	-0.14443521	No	
row_19	NARF	Narf	534	0.009982876479625702	-0.15859729	No	
row_20	SMARCA2	Smarca2	558	0.006966398097574711	-0.17089076	No	
row_21	HERC1	Herc1	569	0.006330896634608507	-0.17574288	No	
row_22	ATP2B1	Atp2b1	586	0.004867198411375284	-0.18429174	No	
row_23	ACSL1	Acsl1	618	0.002640421036630869	-0.20186861	No	
row_24	REL	Rel	630	0.001591293141245842	-0.2080079	No	
row_25	WASHC4	Washc4	657	-0.0015190527774393559	-0.22285362	No	
row_26	XPO7	Xpo7	659	-0.001740989275276661	-0.22317345	No	
row_27	TFCP2	Tfcp2	664	-0.001958658453077078	-0.22519994	No	
row_28	RPLP1	Rplp1	689	-0.003929081838577986	-0.2385265	No	
row_29	RBBP9	Rbbp9	708	-0.005300784483551979	-0.24817005	No	
row_30	FAM133B	Fam133b	721	-0.006631814409047365	-0.25413665	No	
