NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MEF2A	Mef2a	5	0.3118160367012024	0.17351115	Yes	
row_1	GNAS	Gnas	26	0.20340104401111603	0.27744663	Yes	
row_2	NSG2	Nsg2	71	0.14959774911403656	0.33770674	Yes	
row_3	KCNC1	Kcnc1	205	0.061613619327545166	0.29905707	No	
row_4	GDF11	Gdf11	300	0.03943737968802452	0.26941782	No	
row_5	MAST4	Mast4	352	0.03246506303548813	0.25959393	No	
row_6	NR4A1	Nr4a1	445	0.02044553868472576	0.22032334	No	
row_7	FCHSD2	Fchsd2	531	0.010356822982430458	0.17921686	No	
row_8	KSR1	Ksr1	570	0.006259910762310028	0.1617612	No	
row_9	DLG4	Dlg4	576	0.005583205725997686	0.16215502	No	
row_10	CRIP2	Crip2	583	0.005021162796765566	0.16167863	No	
row_11	ECM1	Ecm1	588	0.00473116897046566	0.16214328	No	
row_12	SLC4A1AP	Slc4a1ap	599	0.0037498604506254196	0.15873826	No	
row_13	PTP4A2	Ptp4a2	627	0.0019424301572144032	0.1449192	No	
row_14	PYGM	Pygm	726	-0.0071329232305288315	0.09480789	No	
row_15	FAM89A	Fam89a	776	-0.010699172504246235	0.073784456	No	
row_16	SMAP2	Smap2	842	-0.016812412068247795	0.047377124	No	
row_17	PITPNC1	Pitpnc1	852	-0.017281202599406242	0.05217403	No	
row_18	AQR	Aqr	967	-0.02526749111711979	0.0034746446	No	
row_19	SLC5A3	Slc5a3	988	-0.026699069887399673	0.007518246	No	
row_20	GPR19	Gpr19	1123	-0.038288719952106476	-0.0448698	No	
row_21	DAXX	Daxx	1135	-0.039269693195819855	-0.028747488	No	
row_22	EMC9	Emc9	1208	-0.04640090838074684	-0.042295467	No	
row_23	GGT1	Ggt1	1353	-0.06148126348853111	-0.08709733	No	
row_24	DNMT3A	Dnmt3a	1373	-0.06347081065177917	-0.06171371	No	
row_25	VIM	Vim	1524	-0.08254124224185944	-0.097925015	No	
row_26	SSBP2	Ssbp2	1531	-0.08387190103530884	-0.05382608	No	
row_27	BST2	Bst2	1816	-0.18901820480823517	-0.103877746	No	
row_28	HLA-E	H2-T23	1824	-0.204276442527771	0.007734929	No	
