NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STARD10	Stard10	64	0.1590958535671234	0.082545966	Yes	
row_1	NSG2	Nsg2	71	0.14959774911403656	0.18991631	Yes	
row_2	ADD3	Add3	105	0.1017087772488594	0.24703369	Yes	
row_3	FAS	Fas	130	0.0865669772028923	0.2978922	Yes	
row_4	TAOK3	Taok3	192	0.06407351046800613	0.31179264	Yes	
row_5	DUSP6	Dusp6	199	0.06273907423019409	0.35490912	Yes	
row_6	ABCG1	Abcg1	301	0.03920815885066986	0.3284494	No	
row_7	RPL23	Rpl23	314	0.03751913085579872	0.34961447	No	
row_8	PHF19	Phf19	362	0.031094824895262718	0.34680694	No	
row_9	ACOT7	Acot7	471	0.017430074512958527	0.30039278	No	
row_10	NSMAF	Nsmaf	527	0.011067919433116913	0.27837712	No	
row_11	ZMIZ1	Zmiz1	727	-0.007177209481596947	0.17440586	No	
row_12	EIF4A1	Eif4a1	939	-0.02367580682039261	0.076049685	No	
row_13	CCNT1	Ccnt1	983	-0.026428094133734703	0.071986526	No	
row_14	RAPGEF6	Rapgef6	1570	-0.08977902680635452	-0.18340047	No	
row_15	ZBP1	Zbp1	1650	-0.10252724587917328	-0.15093848	No	
row_16	ALS2	Als2	1680	-0.11111506074666977	-0.0846662	No	
row_17	RPS3A	Rps3a1	1832	-0.23099972307682037	0.003294852	No	
