NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KLHL20	Klhl20	225	0.055381495505571365	-0.09912942	No	
row_1	JARID2	Jarid2	290	0.041062477976083755	-0.115503296	No	
row_2	PCYT1A	Pcyt1a	323	0.03643500804901123	-0.11626104	No	
row_3	C17orf75	5730455P16Rik	368	0.029906338080763817	-0.12673523	No	
row_4	OTUD7B	Otud7b	435	0.021844469010829926	-0.15319759	No	
row_5	CCDC88A	Ccdc88a	494	0.014800889417529106	-0.17850582	No	
row_6	NOL8	Nol8	500	0.014169118367135525	-0.17466472	No	
row_7	RSPH3	Rsph3a	552	0.008037228137254715	-0.19924359	No	
row_8	KIAA0586	2700049A03Rik	690	-0.0039488449692726135	-0.27351007	No	
row_9	HECA	Heca	707	-0.005291658919304609	-0.27992705	No	
row_10	CENPP	Cenpp	737	-0.007700385991483927	-0.29244104	No	
row_11	NSA2	Nsa2	751	-0.00862263236194849	-0.29563534	No	
row_12	BEND6	Bend6	754	-0.008693195879459381	-0.29268557	No	
row_13	MBNL2	Mbnl2	755	-0.008763921447098255	-0.28859162	No	
row_14	GIT2	Git2	767	-0.009574323892593384	-0.29023024	No	
row_15	ZC3H6	Zc3h6	838	-0.016582166776061058	-0.32137305	No	
row_16	AQR	Aqr	967	-0.02526749111711979	-0.38068086	No	
row_17	RNF168	Rnf168	974	-0.02587038464844227	-0.37192926	No	
row_18	PARP12	Parp12	1012	-0.028605252504348755	-0.37912232	No	
row_19	ST13	St13	1061	-0.03278012201189995	-0.3904763	No	
row_20	NIPBL	Nipbl	1187	-0.04439590498805046	-0.4391819	No	
row_21	TBC1D19	Tbc1d19	1272	-0.052388694137334824	-0.461376	Yes	
row_22	PCF11	Pcf11	1296	-0.05583919584751129	-0.4480694	Yes	
row_23	DHRS13	Dhrs13	1320	-0.05843927711248398	-0.4335482	Yes	
row_24	DDX5	Ddx5	1345	-0.0601230189204216	-0.41879603	Yes	
row_25	NME1	Nme1	1450	-0.07213856279850006	-0.44287542	Yes	
row_26	MITD1	Mitd1	1479	-0.07697122544050217	-0.4224751	Yes	
row_27	KDM3B	Kdm3b	1483	-0.07731504738330841	-0.38802528	Yes	
row_28	NFAT5	Nfat5	1520	-0.08211063593626022	-0.3696686	Yes	
row_29	RIF1	Rif1	1582	-0.09076771885156631	-0.36115682	Yes	
row_30	RPS7	Rps7	1585	-0.09125418961048126	-0.31963998	Yes	
row_31	ATF7IP	Atf7ip	1596	-0.09379719197750092	-0.28137967	Yes	
row_32	RNF216	Rnf216	1649	-0.10249360650777817	-0.26239032	Yes	
row_33	SRSF2	Srsf2	1696	-0.11687639355659485	-0.23334892	Yes	
row_34	MPHOSPH10	Mphosph10	1707	-0.12029734998941422	-0.1827095	Yes	
row_35	VPS37B	Vps37b	1724	-0.1267712414264679	-0.13237922	Yes	
row_36	RPS20	Rps20	1739	-0.1313980668783188	-0.07877649	Yes	
row_37	KIF22	Kif22	1744	-0.1333988606929779	-0.018683566	Yes	
row_38	PCLAF	Pclaf	1772	-0.1505996435880661	0.036666658	Yes	
