NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACTG1	Actg1	10	0.2691012918949127	0.13207844	Yes	
row_1	CNN2	Cnn2	81	0.1355934590101242	0.1626598	Yes	
row_2	IL4R	Il4ra	98	0.10935236513614655	0.20972207	Yes	
row_3	UCP2	Ucp2	113	0.09568703174591064	0.25090346	Yes	
row_4	TPM4	Tpm4	117	0.09264743328094482	0.29662123	Yes	
row_5	ANXA6	Anxa6	174	0.07120715081691742	0.30202806	Yes	
row_6	LAPTM5	Laptm5	251	0.0479675754904747	0.28447622	No	
row_7	LZTS2	Lzts2	376	0.028852609917521477	0.23057112	No	
row_8	CUX1	Cux1	423	0.0234362930059433	0.21708554	No	
row_9	KIF1B	Kif1b	470	0.01761847920715809	0.2006248	No	
row_10	NAT14	Nat14	478	0.016828075051307678	0.20535453	No	
row_11	MAP1S	Map1s	739	-0.007803168147802353	0.06538041	No	
row_12	PAXBP1	Paxbp1	791	-0.012473096139729023	0.043519817	No	
row_13	BBX	Bbx	820	-0.01518202293664217	0.035779867	No	
row_14	RICTOR	Rictor	825	-0.015630794689059258	0.04155845	No	
row_15	ZSCAN25	Zscan25	849	-0.017168579623103142	0.03760295	No	
row_16	CCNT1	Ccnt1	983	-0.026428094133734703	-0.022525415	No	
row_17	DESI2	Desi2	989	-0.026847217231988907	-0.011564583	No	
row_18	CYTH4	Cyth4	1035	-0.030709929764270782	-0.020776795	No	
row_19	LIG4	Lig4	1067	-0.03295683115720749	-0.02108803	No	
row_20	ZNF790	Zfp940	1146	-0.040074124932289124	-0.043783918	No	
row_21	SIK2	Sik2	1219	-0.0475153774023056	-0.05935217	No	
row_22	MSH5	Msh5	1251	-0.050358179956674576	-0.05076454	No	
row_23	CIRBP	Cirbp	1256	-0.050893887877464294	-0.026952785	No	
row_24	DHRS13	Dhrs13	1320	-0.05843927711248398	-0.031951282	No	
row_25	CD55	Cd55	1332	-0.05921660363674164	-0.007759349	No	
row_26	BSN	Bsn	1342	-0.05997936427593231	0.017930072	No	
row_27	DDX5	Ddx5	1345	-0.0601230189204216	0.047568925	No	
row_28	LRP8	Lrp8	1399	-0.06637317687273026	0.052164838	No	
row_29	ASH1L	Ash1l	1496	-0.07855597883462906	0.03918138	No	
row_30	CLDND1	Cldnd1	1511	-0.08090482652187347	0.07280331	No	
row_31	GADD45A	Gadd45a	1537	-0.08521945029497147	0.10254089	No	
row_32	POU2F2	Pou2f2	1722	-0.12431249022483826	0.06423036	No	
