NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDRG1	Ndrg1	15	0.2425455003976822	0.028120276	Yes	
row_1	MYL6	Myl6	28	0.2031542956829071	0.051998988	Yes	
row_2	TXK	Txk	43	0.18118487298488617	0.071392536	Yes	
row_3	C1orf21	1700025G04Rik	56	0.16795288026332855	0.089933865	Yes	
row_4	CD5	Cd5	58	0.1632467657327652	0.114109	Yes	
row_5	FYN	Fyn	66	0.15701131522655487	0.13387649	Yes	
row_6	CD6	Cd6	77	0.14273299276828766	0.14974794	Yes	
row_7	OTULIN	Otulin	78	0.14130738377571106	0.17117356	Yes	
row_8	ARRB2	Arrb2	84	0.13318657875061035	0.18848272	Yes	
row_9	ST8SIA4	St8sia4	106	0.1009194478392601	0.19166683	Yes	
row_10	CFL1	Cfl1	125	0.08953812718391418	0.19485638	Yes	
row_11	IRF2BPL	Irf2bpl	128	0.08842042088508606	0.20710899	Yes	
row_12	CNOT6L	Cnot6l	134	0.08554571866989136	0.21719463	Yes	
row_13	NR3C1	Nr3c1	137	0.08509980142116547	0.22894375	Yes	
row_14	GPR183	Gpr183	144	0.08153384178876877	0.23784406	Yes	
row_15	IL2RB	Il2rb	146	0.08085942268371582	0.24952728	Yes	
row_16	LCP1	Lcp1	151	0.07918258011341095	0.25922513	Yes	
row_17	DUSP2	Dusp2	181	0.06913652271032333	0.2529739	Yes	
row_18	ZNF567	Zfp300	187	0.06655798852443695	0.26018056	Yes	
row_19	KLHL20	Klhl20	225	0.055381495505571365	0.24722749	No	
row_20	NFIC	Nfic	232	0.0532374270260334	0.25183737	No	
row_21	ZBTB38	Zbtb38	249	0.04810158163309097	0.2498982	No	
row_22	FOXN3	Foxn3	258	0.046810708940029144	0.25237957	No	
row_23	GABPB2	Gabpb2	281	0.04192030802369118	0.24604094	No	
row_24	JARID2	Jarid2	290	0.041062477976083755	0.24765074	No	
row_25	SPSB1	Spsb1	292	0.040564488619565964	0.25322425	No	
row_26	GOLIM4	Golim4	304	0.03861778974533081	0.25273228	No	
row_27	KLF7	Klf7	315	0.03740835562348366	0.25263396	No	
row_28	GNAL	Gnal	325	0.03606037050485611	0.2529083	No	
row_29	C17orf75	5730455P16Rik	368	0.029906338080763817	0.23320737	No	
row_30	SSH2	Ssh2	372	0.029491595923900604	0.23594792	No	
row_31	BBC3	Bbc3	388	0.027375388890504837	0.23144318	No	
row_32	CUX1	Cux1	423	0.0234362930059433	0.21537754	No	
row_33	KLHL6	Klhl6	431	0.022499235346913338	0.21474972	No	
row_34	LCORL	Lcorl	441	0.02087111584842205	0.21272099	No	
row_35	MAML3	Maml3	482	0.016004202887415886	0.19206625	No	
row_36	GAS7	Gas7	498	0.01425121258944273	0.18557158	No	
row_37	ZFP30	Zfp30	516	0.011962570250034332	0.17757581	No	
row_38	KIAA1958	E130308A19Rik	538	0.009608717635273933	0.16691501	No	
row_39	SMARCA2	Smarca2	558	0.006966398097574711	0.15700765	No	
row_40	HERC1	Herc1	569	0.006330896634608507	0.15219723	No	
row_41	KMT2E	Kmt2e	572	0.006077223923057318	0.1519646	No	
row_42	FAM117B	Fam117b	587	0.004772877786308527	0.14460981	No	
row_43	NDNF	Ndnf	593	0.004193171393126249	0.14236043	No	
row_44	SLC4A1AP	Slc4a1ap	599	0.0037498604506254196	0.14004382	No	
row_45	PHF21B	Phf21b	613	0.0031803310848772526	0.1330246	No	
row_46	LMO1	Lmo1	615	0.003103291615843773	0.1329181	No	
row_47	MAP3K13	Map3k13	645	-2.992713125422597E-4	0.1162295	No	
row_48	IL10RA	Il10ra	656	-0.0014366357354447246	0.11067698	No	
row_49	TBC1D4	Tbc1d4	676	-0.0028912462294101715	0.10015172	No	
row_50	FRMD4B	Frmd4b	686	-0.003811151022091508	0.09553628	No	
row_51	ZNF780A	Zfp607b	763	-0.009128942154347897	0.05306586	No	
row_52	CSAD	Csad	802	-0.01354899536818266	0.033192925	No	
row_53	BBX	Bbx	820	-0.01518202293664217	0.025685309	No	
row_54	GCC2	Gcc2	831	-0.016179226338863373	0.022368131	No	
row_55	SMAP2	Smap2	842	-0.016812412068247795	0.019146962	No	
row_56	IGF1R	Igf1r	880	-0.01936536654829979	7.329621E-4	No	
row_57	BCORL1	Bcorl1	895	-0.020101601257920265	-0.0042976234	No	
row_58	KIAA1841	0610010F05Rik	934	-0.023188738152384758	-0.022708941	No	
row_59	CHD1	Chd1	964	-0.024953670799732208	-0.035659347	No	
row_60	ADGRE5	Adgre5	978	-0.026054000481963158	-0.039210368	No	
row_61	GPAM	Gpam	1040	-0.03109467774629593	-0.069694735	No	
row_62	ANKRD11	Ankrd11	1056	-0.03190835565328598	-0.07351217	No	
row_63	RABGAP1L	Rabgap1l	1058	-0.03210819885134697	-0.06922082	No	
row_64	CCND3	Ccnd3	1079	-0.03401808440685272	-0.07560353	No	
row_65	ITGB2	Itgb2	1105	-0.03668106719851494	-0.08446764	No	
row_66	SHISA5	Shisa5	1109	-0.036969926208257675	-0.080593206	No	
row_67	NFIX	Nfix	1116	-0.03788767009973526	-0.07831072	No	
row_68	ZNF790	Zfp940	1146	-0.040074124932289124	-0.08896849	No	
row_69	TNS1	Tns1	1182	-0.04379662498831749	-0.10252406	No	
row_70	FAM168A	Fam168a	1183	-0.044086821377277374	-0.09583942	No	
row_71	SCML4	Scml4	1202	-0.04613688588142395	-0.099230565	No	
row_72	NRN1	Nrn1	1203	-0.04623537138104439	-0.09222016	No	
row_73	CASZ1	Casz1	1224	-0.04774186387658119	-0.09652201	No	
row_74	ATP2B4	Atp2b4	1238	-0.049256712198257446	-0.09655494	No	
row_75	GNAQ	Gnaq	1270	-0.05220525339245796	-0.10652741	No	
row_76	SMAD7	Smad7	1280	-0.0534033365547657	-0.10362348	No	
row_77	MSI2	Msi2	1291	-0.0551362968981266	-0.101033814	No	
row_78	BCL7A	Bcl7a	1304	-0.05656369775533676	-0.0993818	No	
row_79	LIN9	Lin9	1313	-0.057549357414245605	-0.09527219	No	
row_80	DHRS13	Dhrs13	1320	-0.05843927711248398	-0.08987358	No	
row_81	BDP1	Bdp1	1336	-0.059582944959402084	-0.08949487	No	
row_82	GGT1	Ggt1	1353	-0.06148126348853111	-0.089405365	No	
row_83	PDE4B	Pde4b	1410	-0.06774689257144928	-0.11144719	No	
row_84	RNPC3	Rnpc3	1416	-0.06817389279603958	-0.10399555	No	
row_85	TSC1	Tsc1	1423	-0.06843360513448715	-0.09708156	No	
row_86	FXYD5	Fxyd5	1432	-0.06901803612709045	-0.091233015	No	
row_87	NME1	Nme1	1450	-0.07213856279850006	-0.09010464	No	
row_88	UPRT	Uprt	1478	-0.07680171728134155	-0.09403955	No	
row_89	SPN	Spn	1493	-0.07824338972568512	-0.09025443	No	
row_90	TOP2B	Top2b	1517	-0.081558957695961	-0.091159895	No	
row_91	HSPE1	Hspe1	1528	-0.08321473747491837	-0.08431286	No	
row_92	CALCRL	Calcrl	1553	-0.08738198131322861	-0.08491245	No	
row_93	RAPGEF6	Rapgef6	1570	-0.08977902680635452	-0.08053231	No	
row_94	HIVEP1	Hivep1	1603	-0.094541996717453	-0.08466254	No	
row_95	RARG	Rarg	1606	-0.09524718672037125	-0.071374826	No	
row_96	PSIP1	Psip1	1613	-0.09614083915948868	-0.060259745	No	
row_97	U2SURP	U2surp	1640	-0.10087181627750397	-0.059968013	No	
row_98	RPS27	Rps27	1669	-0.1082063689827919	-0.059718255	No	
row_99	CERS6	Cers6	1687	-0.11352160573005676	-0.0523152	No	
row_100	NSD3	Nsd3	1703	-0.11847104877233505	-0.043007627	No	
row_101	IL6R	Il6ra	1734	-0.12930835783481598	-0.04071236	No	
row_102	ANXA2	Anxa2	1768	-0.14709687232971191	-0.03745103	No	
row_103	EMB	Emb	1771	-0.14954324066638947	-0.01593071	No	
row_104	EZH2	Ezh2	1780	-0.15542131662368774	0.0030186614	No	
row_105	LIG1	Lig1	1820	-0.19701501727104187	0.010386594	No	
