NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MEF2A	Mef2a	5	0.3118160367012024	0.14876963	Yes	
row_1	CDK2AP1	Cdk2ap1	12	0.2562415301799774	0.26998	Yes	
row_2	PLEK	Plek	20	0.22111453115940094	0.37356785	Yes	
row_3	TM6SF1	Tm6sf1	30	0.20012152194976807	0.46584955	Yes	
row_4	ARPC5	Arpc5	49	0.17332503199577332	0.54013956	Yes	
row_5	LYST	Lyst	139	0.08335056155920029	0.5315006	Yes	
row_6	DUSP6	Dusp6	199	0.06273907423019409	0.52941066	Yes	
row_7	CD160	Cd160	213	0.05931650847196579	0.5510578	Yes	
row_8	SETBP1	Setbp1	345	0.03356008231639862	0.495031	No	
row_9	SRGN	Srgn	360	0.0315452516078949	0.50263023	No	
row_10	SLC37A2	Slc37a2	377	0.028818918392062187	0.5078002	No	
row_11	FTL	Ftl1	474	0.017244186252355576	0.46317086	No	
row_12	CCDC88A	Ccdc88a	494	0.014800889417529106	0.45987207	No	
row_13	GAS7	Gas7	498	0.01425121258944273	0.46514106	No	
row_14	ACER3	Acer3	513	0.012227660976350307	0.4633527	No	
row_15	B3GNT5	B3gnt5	557	0.00732156727463007	0.4431669	No	
row_16	FNDC3B	Fndc3b	600	0.0037432631943374872	0.42179438	No	
row_17	ACSL1	Acsl1	618	0.002640421036630869	0.41369045	No	
row_18	PTPRE	Ptpre	782	-0.011246043257415295	0.32915008	No	
row_19	MTURN	Mturn	839	-0.016662675887346268	0.30632535	No	
row_20	SLC22A15	Slc22a15	1030	-0.030346589162945747	0.21615821	No	
row_21	ATP8B4	Atp8b4	1060	-0.03247910737991333	0.21592854	No	
row_22	TET3	Tet3	1063	-0.03284468874335289	0.23078543	No	
row_23	HAL	Hal	1091	-0.035369738936424255	0.23306488	No	
row_24	PLSCR1	Plscr1	1217	-0.04745608568191528	0.18710406	No	
row_25	PRKAR2B	Prkar2b	1249	-0.050285547971725464	0.19442327	No	
row_26	CD9	Cd9	1632	-0.10010258853435516	0.032136083	No	
row_27	IFNGR2	Ifngr2	1795	-0.1668056696653366	0.023743846	No	
