NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNFRSF9	Tnfrsf9	321	0.03650543466210365	-0.16678828	No	
row_1	CENPP	Cenpp	737	-0.007700385991483927	-0.39405483	No	
row_2	DCK	Dck	797	-0.012973496690392494	-0.42286506	No	
row_3	EIF2S2	Eif2s2	1122	-0.03815490007400513	-0.59082663	No	
row_4	IRF4	Irf4	1143	-0.039937373250722885	-0.5901214	No	
row_5	PLAC8	Plac8	1235	-0.04891674220561981	-0.62604046	No	
row_6	GEN1	Gen1	1250	-0.050302792340517044	-0.6189626	No	
row_7	AURKA	Aurka	1253	-0.05057625472545624	-0.605167	No	
row_8	GGT1	Ggt1	1353	-0.06148126348853111	-0.64180875	No	
row_9	ACADL	Acadl	1434	-0.06903138756752014	-0.6657171	No	
row_10	NME1	Nme1	1450	-0.07213856279850006	-0.65275866	No	
row_11	VIM	Vim	1524	-0.08254124224185944	-0.6688148	Yes	
row_12	RFC3	Rfc3	1565	-0.08910662680864334	-0.66468424	Yes	
row_13	GZMK	Gzmk	1621	-0.09780178964138031	-0.66628826	Yes	
row_14	CKS2	Cks2	1641	-0.10171052068471909	-0.64682907	Yes	
row_15	ZBTB32	Zbtb32	1701	-0.11781084537506104	-0.64475	Yes	
row_16	RRM2	Rrm2	1716	-0.12279347330331802	-0.61631346	Yes	
row_17	SPC25	Spc25	1729	-0.12841852009296417	-0.58511335	Yes	
row_18	KIF22	Kif22	1744	-0.1333988606929779	-0.55355203	Yes	
row_19	IDI1	Idi1	1767	-0.14699865877628326	-0.5224085	Yes	
row_20	ANXA2	Anxa2	1768	-0.14709687232971191	-0.4790678	Yes	
row_21	CCDC34	Ccdc34	1769	-0.14865054190158844	-0.43526936	Yes	
row_22	LGALS1	Lgals1	1770	-0.14935307204723358	-0.39126393	Yes	
row_23	CKS1B	Cks1b	1777	-0.15269169211387634	-0.3495934	Yes	
row_24	TUBB4B	Tubb4b	1794	-0.16447784006595612	-0.30998117	Yes	
row_25	PPA1	Ppa1	1796	-0.16706299781799316	-0.26131076	Yes	
row_26	STMN1	Stmn1	1797	-0.1671341210603714	-0.21206632	Yes	
row_27	CDK1	Cdk1	1809	-0.18272265791893005	-0.16431293	Yes	
row_28	CDCA8	Cdca8	1810	-0.18462447822093964	-0.10991513	Yes	
row_29	SPC24	Spc24	1826	-0.20662614703178406	-0.057331204	Yes	
row_30	BIRC5	Birc5	1830	-0.2152295857667923	0.004424808	Yes	
