NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EOMES	Eomes	27	0.20325042307376862	0.017710062	No	
row_1	CD38	Cd38	171	0.07243873178958893	-0.051417623	No	
row_2	OCIAD2	Ociad2	196	0.06357225775718689	-0.05467638	No	
row_3	TGFB1	Tgfb1	256	0.047174133360385895	-0.08039245	No	
row_4	CELA1	Cela1	389	0.027348028495907784	-0.1506153	No	
row_5	DZIP3	Dzip3	412	0.02475751005113125	-0.15904133	No	
row_6	TEC	Tec	528	0.010524502955377102	-0.22237876	No	
row_7	CCL3	Ccl3	536	0.009737765416502953	-0.2247579	No	
row_8	TOX	Tox	555	0.0074873631820082664	-0.23372391	No	
row_9	FRMD4B	Frmd4b	686	-0.003811151022091508	-0.30663487	No	
row_10	AIM2	Aim2	702	-0.005063494201749563	-0.31429738	No	
row_11	TRIM5	Trim12c	712	-0.005489062983542681	-0.31849718	No	
row_12	EGR2	Egr2	723	-0.0067045255564153194	-0.32306534	No	
row_13	CD7	Cd7	743	-0.008094334974884987	-0.33249846	No	
row_14	CYTH3	Cyth3	796	-0.012898380868136883	-0.3598172	No	
row_15	PTGER2	Ptger2	817	-0.014800641685724258	-0.3687277	No	
row_16	ADAM19	Adam19	957	-0.024650193750858307	-0.44334763	No	
row_17	NSD2	Nsd2	1020	-0.029051315039396286	-0.47370133	No	
row_18	BRCA2	Brca2	1145	-0.040072448551654816	-0.5373345	No	
row_19	EPHX1	Ephx1	1176	-0.043524615466594696	-0.5472401	No	
row_20	IKZF2	Ikzf2	1191	-0.044596195220947266	-0.54792196	No	
row_21	NCF1	Ncf1	1226	-0.0479205958545208	-0.55937666	No	
row_22	CDK6	Cdk6	1248	-0.05028317868709564	-0.563095	No	
row_23	GEN1	Gen1	1250	-0.050302792340517044	-0.55549794	No	
row_24	IFIH1	Ifih1	1271	-0.052313290536403656	-0.55832124	No	
row_25	BARD1	Bard1	1281	-0.05345643684267998	-0.5547373	No	
row_26	CASP4	Casp4	1329	-0.05906422436237335	-0.5717367	No	
row_27	PTPN13	Ptpn13	1340	-0.05981649085879326	-0.5676863	No	
row_28	EHD4	Ehd4	1363	-0.06257080286741257	-0.5699764	No	
row_29	CLIC4	Clic4	1435	-0.06917513161897659	-0.5989097	Yes	
row_30	MYO5A	Myo5a	1440	-0.06974194943904877	-0.589855	Yes	
row_31	IFIT3	Ifit3	1467	-0.07560823112726212	-0.59229195	Yes	
row_32	XDH	Xdh	1481	-0.07698869705200195	-0.5871519	Yes	
row_33	BRCA1	Brca1	1486	-0.07759741693735123	-0.5768225	Yes	
row_34	INPP4B	Inpp4b	1495	-0.07854750752449036	-0.5686015	Yes	
row_35	RNF213	Rnf213	1533	-0.08415919542312622	-0.57587254	Yes	
row_36	ECT2	Ect2	1544	-0.08581280708312988	-0.56760377	Yes	
row_37	IFIT1	Ifit1bl1	1550	-0.08715087920427322	-0.5562898	Yes	
row_38	CENPE	Cenpe	1566	-0.08922138810157776	-0.55029595	Yes	
row_39	USP18	Usp18	1572	-0.08993127942085266	-0.5385308	Yes	
row_40	DDX60	Ddx60	1577	-0.09032365679740906	-0.5261364	Yes	
row_41	CD86	Cd86	1584	-0.09107993543148041	-0.5147505	Yes	
row_42	TRAFD1	Trafd1	1605	-0.09462740272283554	-0.51070744	Yes	
row_43	LAG3	Lag3	1611	-0.09573236107826233	-0.49800095	Yes	
row_44	GZMK	Gzmk	1621	-0.09780178964138031	-0.4872211	Yes	
row_45	CENPA	Cenpa	1623	-0.09803668409585953	-0.47187823	Yes	
row_46	ZBP1	Zbp1	1650	-0.10252724587917328	-0.46994698	Yes	
row_47	DHX58	Dhx58	1671	-0.1088041141629219	-0.4636035	Yes	
row_48	MCM6	Mcm6	1678	-0.11081881821155548	-0.4490145	Yes	
row_49	EIF2AK2	Eif2ak2	1684	-0.11255605518817902	-0.43357804	Yes	
row_50	ATAD5	Atad5	1692	-0.1151510626077652	-0.4188517	Yes	
row_51	PDCD1	Pdcd1	1704	-0.11951148509979248	-0.4056802	Yes	
row_52	RRM2	Rrm2	1716	-0.12279347330331802	-0.39197618	Yes	
row_53	RBBP8	Rbbp8	1721	-0.12429415434598923	-0.37406933	Yes	
row_54	SPC25	Spc25	1729	-0.12841852009296417	-0.35719007	Yes	
row_55	CBX5	Cbx5	1737	-0.1300150603055954	-0.34005174	Yes	
row_56	KIF22	Kif22	1744	-0.1333988606929779	-0.3217987	Yes	
row_57	MCM3	Mcm3	1747	-0.13566115498542786	-0.3009161	Yes	
row_58	ISG20	Isg20	1760	-0.14157834649085999	-0.28472945	Yes	
row_59	CCDC34	Ccdc34	1769	-0.14865054190158844	-0.26513273	Yes	
row_60	CKS1B	Cks1b	1777	-0.15269169211387634	-0.24431464	Yes	
row_61	RSAD2	Rsad2	1779	-0.1553857922554016	-0.21966572	Yes	
row_62	EZH2	Ezh2	1780	-0.15542131662368774	-0.19444542	Yes	
row_63	TOP2A	Top2a	1784	-0.15666429698467255	-0.17072025	Yes	
row_64	CTLA4	Ctla4	1785	-0.1577174812555313	-0.14512736	Yes	
