NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZMYND8	Zmynd8	278	0.042331915348768234	-0.12997854	No	
row_1	STXBP4	Stxbp4	337	0.03450452908873558	-0.14267316	No	
row_2	RUNX2	Runx2	407	0.025489384308457375	-0.16651668	No	
row_3	ARGLU1	Arglu1	503	0.01368807628750801	-0.21137081	No	
row_4	SERBP1	Serbp1	514	0.012122450396418571	-0.21009126	No	
row_5	KNOP1	Knop1	622	0.0023215673863887787	-0.2679684	No	
row_6	BAZ2A	Baz2a	654	-0.0013875517761334777	-0.28433487	No	
row_7	DAG1	Dag1	704	-0.00510537950322032	-0.3085684	No	
row_8	RANBP10	Ranbp10	706	-0.005251490511000156	-0.30617115	No	
row_9	MAFG	Mafg	741	-0.00786993745714426	-0.32055503	No	
row_10	STAT2	Stat2	748	-0.008505547419190407	-0.3190951	No	
row_11	ZFP41	Zfp41	833	-0.016251809895038605	-0.35642484	No	
row_12	SRRT	Srrt	860	-0.018010852858424187	-0.3606867	No	
row_13	IPCEF1	Ipcef1	885	-0.019663317129015923	-0.36291397	No	
row_14	ARHGEF18	Arhgef18	1037	-0.030817512422800064	-0.42911804	No	
row_15	SVIL	Svil	1073	-0.03336840495467186	-0.42972973	No	
row_16	RPS2	Rps2	1243	-0.049868009984493256	-0.4951868	No	
row_17	WNT4	Wnt4	1420	-0.06835321336984634	-0.5541304	Yes	
row_18	HOXA7	Hoxa7	1428	-0.06876593828201294	-0.5193686	Yes	
row_19	RBM25	Rbm25	1475	-0.07660927623510361	-0.50177115	Yes	
row_20	KDM3B	Kdm3b	1483	-0.07731504738330841	-0.46220642	Yes	
row_21	THRAP3	Thrap3	1491	-0.0778612270951271	-0.42233482	Yes	
row_22	CHD2	Chd2	1506	-0.08029770106077194	-0.38496608	Yes	
row_23	RBM5	Rbm5	1515	-0.08128923922777176	-0.3437217	Yes	
row_24	ATP1B3	Atp1b3	1518	-0.08175472170114517	-0.2988972	Yes	
row_25	TAP1	Tap1	1538	-0.08533468842506409	-0.26146412	Yes	
row_26	KIF21B	Kif21b	1569	-0.08974054455757141	-0.22763982	Yes	
row_27	CALR	Calr	1602	-0.09443475306034088	-0.19228448	Yes	
row_28	PSMB8	Psmb8	1787	-0.1582619994878769	-0.2051411	Yes	
row_29	TUBB4B	Tubb4b	1794	-0.16447784006595612	-0.11605427	Yes	
row_30	TUBB	Tubb5	1833	-0.2489050328731537	0.0027655524	Yes	
