NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCR5	Ccr5	2	0.33499446511268616	0.11386211	Yes	
row_1	ENTPD1	Entpd1	35	0.18871307373046875	0.16079506	Yes	
row_2	PTPRCAP	Ptprcap	38	0.18416349589824677	0.22288892	Yes	
row_3	GIMAP6	Gimap6	87	0.12504109740257263	0.23904972	Yes	
row_4	SH3BGRL3	Sh3bgrl3	102	0.10376562923192978	0.26686043	Yes	
row_5	UCP2	Ucp2	113	0.09568703174591064	0.29412803	Yes	
row_6	CXCR3	Cxcr3	118	0.09245146065950394	0.3236296	Yes	
row_7	IQGAP2	Iqgap2	133	0.0856812372803688	0.34523335	Yes	
row_8	SLAMF6	Slamf6	141	0.0823260173201561	0.36958742	Yes	
row_9	SELENOP	Selenop	143	0.08200302720069885	0.39717513	Yes	
row_10	CXCR6	Cxcr6	149	0.08062325417995453	0.42205963	Yes	
row_11	BCL2L11	Bcl2l11	158	0.07679951190948486	0.44395947	Yes	
row_12	ANXA6	Anxa6	174	0.07120715081691742	0.460038	Yes	
row_13	DUSP2	Dusp2	181	0.06913652271032333	0.4804226	Yes	
row_14	CTSW	Ctsw	217	0.05739958584308624	0.48061383	Yes	
row_15	EHD3	Ehd3	234	0.05269022285938263	0.48977956	Yes	
row_16	IZUMO1R	Izumo1r	411	0.02519623562693596	0.40032265	No	
row_17	GALNT4	Galnt4	428	0.022920044139027596	0.39927065	No	
row_18	LARGE1	Large1	430	0.022524133324623108	0.40644398	No	
row_19	ACOT7	Acot7	471	0.017430074512958527	0.39012977	No	
row_20	BASP1	Basp1	501	0.013914036564528942	0.37874037	No	
row_21	ABLIM1	Ablim1	554	0.007647884078323841	0.35237977	No	
row_22	ECM1	Ecm1	588	0.00473116897046566	0.33560896	No	
row_23	CTNNA1	Ctnna1	632	0.001421858905814588	0.3121282	No	
row_24	SPACA1	Spaca1	634	0.0013531659496948123	0.3120352	No	
row_25	MAP1S	Map1s	739	-0.007803168147802353	0.2567424	No	
row_26	STAT2	Stat2	748	-0.008505547419190407	0.25520235	No	
row_27	GABARAPL1	Gabarapl1	809	-0.014003625139594078	0.22656389	No	
row_28	PER3	Per3	830	-0.01605438068509102	0.2209258	No	
row_29	PCYOX1L	Pcyox1l	836	-0.016385601833462715	0.2237626	No	
row_30	FOXO1	Foxo1	844	-0.01694755256175995	0.22567746	No	
row_31	CTSF	Ctsf	887	-0.01985476166009903	0.20908065	No	
row_32	THY1	Thy1	916	-0.02168836072087288	0.20091695	No	
row_33	MYO6	Myo6	947	-0.024422038346529007	0.19257669	No	
row_34	TNS1	Tns1	1182	-0.04379662498831749	0.0771738	No	
row_35	RHOH	Rhoh	1198	-0.045652613043785095	0.0844815	No	
row_36	PLAC8	Plac8	1235	-0.04891674220561981	0.08120384	No	
row_37	NT5E	Nt5e	1341	-0.05997728556394577	0.04326084	No	
row_38	XDH	Xdh	1481	-0.07698869705200195	-0.007795562	No	
row_39	ARL4C	Arl4c	1499	-0.0793900415301323	0.009976691	No	
row_40	SAMD9L	Samd9l	1508	-0.08060361444950104	0.03318219	No	
row_41	ARRDC4	Arrdc4	1542	-0.08563622832298279	0.04417964	No	
row_42	PARP9	Parp9	1564	-0.0889885202050209	0.06301664	No	
row_43	CD86	Cd86	1584	-0.09107993543148041	0.08368627	No	
row_44	PPA1	Ppa1	1796	-0.16706299781799316	0.02341143	No	
