NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD38	Cd38	171	0.07243873178958893	-0.06326826	No	
row_1	RPGRIP1	Rpgrip1	224	0.05621672794222832	-0.06777916	No	
row_2	PTGER4	Ptger4	366	0.03027244843542576	-0.13263823	No	
row_3	HIVEP3	Hivep3	419	0.023941799998283386	-0.1510533	No	
row_4	N4BP1	N4bp1	499	0.014187046326696873	-0.18858786	No	
row_5	AMMECR1	Ammecr1	651	-0.0010479663033038378	-0.2715618	No	
row_6	ZMIZ1	Zmiz1	727	-0.007177209481596947	-0.3099063	No	
row_7	GSK3B	Gsk3b	936	-0.023416871204972267	-0.41473535	No	
row_8	RNF19A	Rnf19a	1046	-0.031409263610839844	-0.4614251	No	
row_9	SMPDL3B	Smpdl3b	1126	-0.03839579597115517	-0.48853046	No	
row_10	STX11	Stx11	1240	-0.04968775808811188	-0.52955574	No	
row_11	FDPS	Fdps	1367	-0.0629020631313324	-0.57207054	Yes	
row_12	PDE4B	Pde4b	1410	-0.06774689257144928	-0.56608933	Yes	
row_13	MRPL52	Mrpl52	1455	-0.07294522225856781	-0.55897367	Yes	
row_14	TNFAIP3	Tnfaip3	1480	-0.07698134332895279	-0.5390695	Yes	
row_15	ICAM1	Icam1	1501	-0.07978678494691849	-0.5157468	Yes	
row_16	NFKBIA	Nfkbia	1536	-0.08494466543197632	-0.4979368	Yes	
row_17	JUNB	Junb	1575	-0.09018150717020035	-0.48008075	Yes	
row_18	TNF	Tnf	1589	-0.09243222326040268	-0.44744292	Yes	
row_19	MBTD1	Mbtd1	1609	-0.09544690698385239	-0.41682127	Yes	
row_20	KCNA2	Kcna2	1616	-0.09665589779615402	-0.37849647	Yes	
row_21	PSME2	Psme2	1617	-0.09701362252235413	-0.33670262	Yes	
row_22	CERS6	Cers6	1687	-0.11352160573005676	-0.32591864	Yes	
row_23	FAM241A	Fam241a	1738	-0.1305181086063385	-0.29731527	Yes	
row_24	S100A6	S100a6	1748	-0.1357390135526657	-0.24381076	Yes	
row_25	STAT1	Stat1	1786	-0.15820293128490448	-0.19609833	Yes	
row_26	PPA1	Ppa1	1796	-0.16706299781799316	-0.12909934	Yes	
row_27	PRC1	Prc1	1800	-0.16847743093967438	-0.058176085	Yes	
row_28	CCL5	Ccl5	1808	-0.18249179422855377	0.016574657	Yes	
