NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCR5	Ccr5	2	0.33499446511268616	0.116323136	Yes	
row_1	MEF2A	Mef2a	5	0.3118160367012024	0.22452123	Yes	
row_2	CCR2	Ccr2	6	0.30017155408859253	0.32974425	Yes	
row_3	CDK2AP1	Cdk2ap1	12	0.2562415301799774	0.4168009	Yes	
row_4	C1orf21	1700025G04Rik	56	0.16795288026332855	0.45187923	Yes	
row_5	FYN	Fyn	66	0.15701131522655487	0.5019378	Yes	
row_6	MPP1	Mpp1	76	0.14485450088977814	0.5477349	Yes	
row_7	CDKN2C	Cdkn2c	135	0.08533194661140442	0.54555	Yes	
row_8	TMEM37	Tmem37	140	0.08332692831754684	0.57254606	Yes	
row_9	MXD4	Mxd4	211	0.059866227209568024	0.5547935	No	
row_10	RCBTB2	Rcbtb2	421	0.02368171140551567	0.44743365	No	
row_11	TEC	Tec	528	0.010524502955377102	0.39246216	No	
row_12	C2CD5	C2cd5	624	0.002035191049799323	0.34060225	No	
row_13	PTP4A2	Ptp4a2	627	0.0019424301572144032	0.34017634	No	
row_14	UHRF2	Uhrf2	681	-0.003228741930797696	0.31197777	No	
row_15	ATF6	Atf6	750	-0.008568672463297844	0.27735004	No	
row_16	GCC2	Gcc2	831	-0.016179226338863373	0.23874928	No	
row_17	EIF4A2	Eif4a2	872	-0.019063252955675125	0.22329563	No	
row_18	PDE7A	Pde7a	999	-0.027348587289452553	0.16315365	No	
row_19	MAP3K5	Map3k5	1072	-0.03329986333847046	0.13498163	No	
row_20	INO80D	Ino80d	1083	-0.03420771658420563	0.14143887	No	
row_21	RSF1	Rsf1	1087	-0.03491643816232681	0.15201837	No	
row_22	ARHGAP18	Arhgap18	1104	-0.036564648151397705	0.15598139	No	
row_23	ITGA6	Itga6	1113	-0.0375295951962471	0.1647099	No	
row_24	ERCC6L	Ercc6l	1153	-0.04127506911754608	0.15759584	No	
row_25	CASP8AP2	Casp8ap2	1386	-0.06466978043317795	0.051875778	No	
row_26	TTC3	Ttc3	1394	-0.06556841731071472	0.070986494	No	
row_27	FXYD5	Fxyd5	1432	-0.06901803612709045	0.07470436	No	
row_28	CLIC4	Clic4	1435	-0.06917513161897659	0.0978464	No	
row_29	NAP1L1	Nap1l1	1656	-0.10424032807350159	0.01263835	No	
row_30	TMX4	Tmx4	1666	-0.10766146332025528	0.045397684	No	
row_31	RPL22L1	Rpl22l1	1758	-0.14045178890228271	0.044272352	No	
