NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLEK	Plek	20	0.22111453115940094	0.05901396	No	
row_1	PKP4	Pkp4	129	0.08826208859682083	0.027282164	No	
row_2	GPR183	Gpr183	144	0.08153384178876877	0.045380637	No	
row_3	MDGA2	Mdga2	262	0.04565833881497383	-0.0048271376	No	
row_4	CNRIP1	Cnrip1	274	0.04283250495791435	0.0026655048	No	
row_5	GDF11	Gdf11	300	0.03943737968802452	0.0013431711	No	
row_6	SFPQ	Sfpq	403	0.025815196335315704	-0.046860896	No	
row_7	NSMAF	Nsmaf	527	0.011067919433116913	-0.11134691	No	
row_8	N6AMT1	N6amt1	996	-0.027045147493481636	-0.36148292	No	
row_9	SVIL	Svil	1073	-0.03336840495467186	-0.39292085	No	
row_10	DDX21	Ddx21	1168	-0.042728740721940994	-0.4313428	No	
row_11	CASP4	Casp4	1329	-0.05906422436237335	-0.50107235	No	
row_12	SELENOI	Selenoi	1405	-0.06720154732465744	-0.521236	No	
row_13	GNL3	Gnl3	1415	-0.06817121803760529	-0.5046081	No	
row_14	THRAP3	Thrap3	1491	-0.0778612270951271	-0.5213937	No	
row_15	EIF5A	Eif5a	1637	-0.10049199312925339	-0.5697032	Yes	
row_16	CD274	Cd274	1660	-0.10650674253702164	-0.54811335	Yes	
row_17	GBP7	Gbp7	1668	-0.10807042568922043	-0.517736	Yes	
row_18	SMS	Sms	1700	-0.1178012564778328	-0.4975421	Yes	
row_19	MPHOSPH10	Mphosph10	1707	-0.12029734998941422	-0.4627374	Yes	
row_20	RRM2	Rrm2	1716	-0.12279347330331802	-0.42824727	Yes	
row_21	MCM3	Mcm3	1747	-0.13566115498542786	-0.40184084	Yes	
row_22	NDC80	Ndc80	1751	-0.13706283271312714	-0.36006486	Yes	
row_23	GPATCH4	Gpatch4	1766	-0.1466624140739441	-0.32132757	Yes	
row_24	TOP2A	Top2a	1784	-0.15666429698467255	-0.2810791	Yes	
row_25	PPA1	Ppa1	1796	-0.16706299781799316	-0.23421861	Yes	
row_26	HSP90AA1	Hsp90aa1	1801	-0.17057761549949646	-0.1823748	Yes	
row_27	DAPL1	Dapl1	1805	-0.1797913759946823	-0.12705843	Yes	
row_28	FAM111A	Fam111a	1812	-0.18754857778549194	-0.07094223	Yes	
row_29	TUBA1B	Tuba1b	1834	-0.2674778997898102	0.0022111947	Yes	
