NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCR2	Ccr2	6	0.30017155408859253	0.057608556	Yes	
row_1	SYTL2	Sytl2	29	0.20187465846538544	0.086236775	Yes	
row_2	TXK	Txk	43	0.18118487298488617	0.11572894	Yes	
row_3	KLRD1	Klrd1	44	0.17951525747776031	0.1522017	Yes	
row_4	ELOVL6	Elovl6	46	0.17679810523986816	0.18755934	Yes	
row_5	GEM	Gem	51	0.1729225218296051	0.22044037	Yes	
row_6	UBASH3B	Ubash3b	53	0.17144091427326202	0.25470957	Yes	
row_7	C1orf21	1700025G04Rik	56	0.16795288026332855	0.28770706	Yes	
row_8	CHSY1	Chsy1	74	0.14699780941009521	0.30800104	Yes	
row_9	UGCG	Ugcg	85	0.13216038048267365	0.3292219	Yes	
row_10	PRF1	Prf1	97	0.10999298095703125	0.3453759	Yes	
row_11	TNFSF14	Tnfsf14	108	0.09985554963350296	0.36003327	Yes	
row_12	NKG7	Nkg7	112	0.09572377055883408	0.37779263	Yes	
row_13	CXCR3	Cxcr3	118	0.09245146065950394	0.393761	Yes	
row_14	PKP4	Pkp4	129	0.08826208859682083	0.4060629	Yes	
row_15	ABI2	Abi2	131	0.08653464913368225	0.4230814	Yes	
row_16	IQGAP2	Iqgap2	133	0.0856812372803688	0.4399265	Yes	
row_17	TMEM37	Tmem37	140	0.08332692831754684	0.45347795	Yes	
row_18	MFSD6	Mfsd6	152	0.07778303325176239	0.4630877	Yes	
row_19	CHPT1	Chpt1	155	0.0771249458193779	0.47763133	Yes	
row_20	GSAP	Gsap	167	0.07354774326086044	0.4863806	Yes	
row_21	RNF43	Rnf43	179	0.06984835118055344	0.49437827	Yes	
row_22	KLRC1	Klrc1	180	0.06984464824199677	0.5085688	Yes	
row_23	AS3MT	As3mt	185	0.0677388608455658	0.5200793	Yes	
row_24	RUNX3	Runx3	202	0.062237076461315155	0.52371526	Yes	
row_25	RAP2A	Rap2a	265	0.04547864571213722	0.4980454	No	
row_26	CRTAM	Crtam	299	0.03993963450193405	0.48757902	No	
row_27	RAPH1	Raph1	302	0.03903469070792198	0.4943837	No	
row_28	ATP1B1	Atp1b1	326	0.03593038022518158	0.48873335	No	
row_29	FASLG	Fasl	347	0.03288247436285019	0.48415294	No	
row_30	PTGER4	Ptger4	366	0.03027244843542576	0.48016837	No	
row_31	RUNX2	Runx2	407	0.025489384308457375	0.4628246	No	
row_32	S1PR5	S1pr5	460	0.018698718398809433	0.43734443	No	
row_33	SPO11	Spo11	464	0.018133530393242836	0.4393395	No	
row_34	TTF1	Ttf1	477	0.01692829467356205	0.4360221	No	
row_35	PLEKHA5	Plekha5	525	0.011373335495591164	0.4118689	No	
row_36	CDC42EP3	Cdc42ep3	550	0.00837921816855669	0.40005782	No	
row_37	NDNF	Ndnf	593	0.004193171393126249	0.37726113	No	
row_38	GRK5	Grk5	629	0.0017971654888242483	0.35791907	No	
row_39	GPRIN3	Gprin3	660	-0.0017474894411861897	0.3413822	No	
row_40	PTPRE	Ptpre	782	-0.011246043257415295	0.27553648	No	
row_41	KIFC3	Kifc3	803	-0.013671685010194778	0.26705295	No	
row_42	TET1	Tet1	886	-0.019764725118875504	0.22489743	No	
row_43	GAN	Gan	1007	-0.028176842257380486	0.16305466	No	
row_44	ATP8B4	Atp8b4	1060	-0.03247910737991333	0.14037427	No	
row_45	PREX1	Prex1	1162	-0.04204854369163513	0.09204806	No	
row_46	TIRAP	Tirap	1196	-0.04530073702335358	0.08267089	No	
row_47	PLSCR1	Plscr1	1217	-0.04745608568191528	0.081051454	No	
row_48	ZBTB20	Zbtb20	1299	-0.05611911043524742	0.046845265	No	
row_49	RNF157	Rnf157	1300	-0.05613010749220848	0.058249418	No	
row_50	IL18RAP	Il18rap	1326	-0.05895303189754486	0.05615054	No	
row_51	ABCB1	Abcb1a	1337	-0.059690624475479126	0.06264747	No	
row_52	DNMT3A	Dnmt3a	1373	-0.06347081065177917	0.055835854	No	
row_53	SYT11	Syt11	1463	-0.07494601607322693	0.020950293	No	
row_54	KLF6	Klf6	1465	-0.07542913407087326	0.03571244	No	
row_55	TTC39C	Ttc39c	1488	-0.07764623314142227	0.039100714	No	
row_56	SP4	Sp4	1498	-0.07915055006742477	0.05011445	No	
row_57	KLRG1	Klrg1	1503	-0.07989496737718582	0.064094745	No	
row_58	BMPR2	Bmpr2	1576	-0.09025294333696365	0.041891217	No	
row_59	GZMB	Gzmb	1629	-0.09919799119234085	0.032766353	No	
row_60	PIM1	Pim1	1682	-0.1116589680314064	0.026173225	No	
row_61	ANXA2	Anxa2	1768	-0.14709687232971191	0.008199065	No	
row_62	IL18R1	Il18r1	1773	-0.15086795389652252	0.036599196	No	
