NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FAS	Fas	130	0.0865669772028923	0.017297875	No	
row_1	PPP3CC	Ppp3cc	157	0.07684438675642014	0.08166576	No	
row_2	PPP3CA	Ppp3ca	294	0.04054020717740059	0.048582513	No	
row_3	FASLG	Fasl	347	0.03288247436285019	0.053716987	No	
row_4	PIK3R5	Pik3r5	602	0.003621370531618595	-0.081832245	No	
row_5	IRAK2	Irak2	1017	-0.029019812121987343	-0.27911472	No	
row_6	PRKAR2B	Prkar2b	1249	-0.050285547971725464	-0.35431048	Yes	
row_7	PIK3CA	Pik3ca	1261	-0.051068015396595	-0.30809164	Yes	
row_8	MAP3K14	Map3k14	1283	-0.05359812453389168	-0.26476663	Yes	
row_9	ENDOD1	Endod1	1325	-0.05881265923380852	-0.22707134	Yes	
row_10	NFKBIA	Nfkbia	1536	-0.08494466543197632	-0.25529295	Yes	
row_11	TNF	Tnf	1589	-0.09243222326040268	-0.189231	Yes	
row_12	BCL2	Bcl2	1608	-0.09541616588830948	-0.10147568	Yes	
row_13	CASP3	Casp3	1639	-0.10065294802188873	-0.014941378	Yes	
row_14	CFLAR	Cflar	1709	-0.1207013800740242	0.07072362	Yes	
