NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACTG1	Actg1	10	0.2691012918949127	0.15808947	No	
row_1	ACTB	Actb	41	0.18240998685359955	0.25250515	No	
row_2	ITGB1	Itgb1	154	0.077346071600914	0.23805042	No	
row_3	CACNB4	Cacnb4	279	0.04230644926428795	0.19571005	No	
row_4	LMNA	Lmna	461	0.018618302419781685	0.10768613	No	
row_5	ITGA2	Itga2	553	0.007982445880770683	0.06259328	No	
row_6	CTNNA1	Ctnna1	632	0.001421858905814588	0.020647485	No	
row_7	DAG1	Dag1	704	-0.00510537950322032	-0.0152172875	No	
row_8	CACNA2D2	Cacna2d2	1057	-0.03192465379834175	-0.18900563	No	
row_9	ITGA6	Itga6	1113	-0.0375295951962471	-0.19637921	No	
row_10	LEF1	Lef1	1354	-0.061490967869758606	-0.29072422	No	
row_11	ITGA1	Itga1	1500	-0.07941204309463501	-0.3220351	Yes	
row_12	TCF7	Tcf7	1526	-0.08308049291372299	-0.28525436	Yes	
row_13	ACTN1	Actn1	1653	-0.10324325412511826	-0.2916509	Yes	
row_14	ACTN2	Actn2	1757	-0.14018596708774567	-0.26296768	Yes	
row_15	ITGA4	Itga4	1831	-0.2216857671737671	-0.16827796	Yes	
row_16	ITGB7	Itgb7	1838	-0.2822507321834564	8.789357E-9	Yes	
