NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FYN	Fyn	66	0.15701131522655487	0.11808615	Yes	
row_1	CFL1	Cfl1	125	0.08953812718391418	0.17423843	Yes	
row_2	RAC2	Rac2	145	0.08114214986562729	0.24356562	Yes	
row_3	ITGB1	Itgb1	154	0.077346071600914	0.31520504	Yes	
row_4	PPP3CC	Ppp3cc	157	0.07684438675642014	0.38964796	Yes	
row_5	KRAS	Kras	172	0.0724053829908371	0.45313373	Yes	
row_6	ROCK1	Rock1	244	0.04972748085856438	0.4630073	Yes	
row_7	PPP3CA	Ppp3ca	294	0.04054020717740059	0.47593725	Yes	
row_8	RGS3	Rgs3	307	0.03847609832882881	0.50716776	Yes	
row_9	ARHGEF12	Arhgef12	479	0.01621590182185173	0.42915276	No	
row_10	ABLIM1	Ablim1	554	0.007647884078323841	0.39601165	No	
row_11	CXCR4	Cxcr4	633	0.0013894559815526009	0.3545204	No	
row_12	EPHB6	Ephb6	785	-0.011715104803442955	0.2830699	No	
row_13	GSK3B	Gsk3b	936	-0.023416871204972267	0.22367226	No	
row_14	L1CAM	L1cam	994	-0.02699022740125656	0.2188863	No	
row_15	EFNB1	Efnb1	1062	-0.03282255679368973	0.21433932	No	
row_16	NFATC1	Nfatc1	1229	-0.04832750931382179	0.17063884	No	
row_17	NFAT5	Nfat5	1520	-0.08211063593626022	0.092016995	No	
row_18	ROCK2	Rock2	1530	-0.08357544988393784	0.16923074	No	
