NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDKN2C	Cdkn2c	135	0.08533194661140442	-0.033308093	No	
row_1	EP300	Ep300	189	0.06600392609834671	-0.03072449	No	
row_2	E2F2	E2f2	236	0.052226707339286804	-0.030919898	No	
row_3	TGFB1	Tgfb1	256	0.047174133360385895	-0.018665412	No	
row_4	MYC	Myc	324	0.036377351731061935	-0.038073696	No	
row_5	ATR	Atr	453	0.019865160807967186	-0.099064924	No	
row_6	SMC3	Smc3	560	0.006745651364326477	-0.15424925	No	
row_7	CDC14B	Cdc14b	828	-0.01584577187895775	-0.29380327	No	
row_8	GSK3B	Gsk3b	936	-0.023416871204972267	-0.34150666	No	
row_9	CCND3	Ccnd3	1079	-0.03401808440685272	-0.40339673	No	
row_10	CDKN1B	Cdkn1b	1173	-0.04317750409245491	-0.43386164	No	
row_11	CDK6	Cdk6	1248	-0.05028317868709564	-0.45042896	No	
row_12	PTTG1	Pttg1	1489	-0.07774710655212402	-0.54527456	Yes	
row_13	CDC25B	Cdc25b	1519	-0.08205763250589371	-0.52172583	Yes	
row_14	GADD45A	Gadd45a	1537	-0.08521945029497147	-0.4900385	Yes	
row_15	DBF4	Dbf4	1581	-0.09055541455745697	-0.47011328	Yes	
row_16	MCM6	Mcm6	1678	-0.11081881821155548	-0.4696423	Yes	
row_17	CDC20	Cdc20	1710	-0.12086818367242813	-0.42849714	Yes	
row_18	GADD45B	Gadd45b	1718	-0.12309332191944122	-0.37304944	Yes	
row_19	GADD45G	Gadd45g	1720	-0.12419763952493668	-0.31376207	Yes	
row_20	MCM3	Mcm3	1747	-0.13566115498542786	-0.26273325	Yes	
row_21	CCND2	Ccnd2	1753	-0.1381314992904663	-0.1989376	Yes	
row_22	SMC1A	Smc1a	1781	-0.1556764543056488	-0.13881665	Yes	
row_23	CCNB1	Ccnb1	1799	-0.1683269888162613	-0.06708797	Yes	
row_24	CDK1	Cdk1	1809	-0.18272265791893005	0.015986705	Yes	
