NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACTG1	Actg1	10	0.2691012918949127	0.15362109	Yes	
row_1	GNAS	Gnas	26	0.20340104401111603	0.26565406	Yes	
row_2	ACTB	Actb	41	0.18240998685359955	0.3658246	Yes	
row_3	TPM4	Tpm4	117	0.09264743328094482	0.37946156	Yes	
row_4	ITGB1	Itgb1	154	0.077346071600914	0.40544486	Yes	
row_5	TGFB1	Tgfb1	256	0.047174133360385895	0.37793347	No	
row_6	CACNB4	Cacnb4	279	0.04230644926428795	0.39087918	No	
row_7	LMNA	Lmna	461	0.018618302419781685	0.3026004	No	
row_8	ITGA2	Itga2	553	0.007982445880770683	0.2574023	No	
row_9	DAG1	Dag1	704	-0.00510537950322032	0.17813893	No	
row_10	CACNA2D2	Cacna2d2	1057	-0.03192465379834175	0.0039260956	No	
row_11	ITGA6	Itga6	1113	-0.0375295951962471	-0.0040545245	No	
row_12	ITGA1	Itga1	1500	-0.07941204309463501	-0.16884093	No	
row_13	TNF	Tnf	1589	-0.09243222326040268	-0.16246232	No	
row_14	ITGA4	Itga4	1831	-0.2216857671737671	-0.16358995	No	
row_15	ITGB7	Itgb7	1838	-0.2822507321834564	-6.0128514E-8	No	
