NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KRAS	Kras	172	0.0724053829908371	0.015953664	No	
row_1	MYC	Myc	324	0.036377351731061935	-0.0114395125	No	
row_2	CBL	Cbl	497	0.01430210005491972	-0.08395991	No	
row_3	ERBB3	Erbb3	590	0.004417372401803732	-0.12767215	No	
row_4	PIK3R5	Pik3r5	602	0.003621370531618595	-0.12818858	No	
row_5	BRAF	Braf	756	-0.008765134960412979	-0.19872347	No	
row_6	GSK3B	Gsk3b	936	-0.023416871204972267	-0.26120248	No	
row_7	EGF	Egf	1076	-0.03367144986987114	-0.28613698	Yes	
row_8	CDKN1B	Cdkn1b	1173	-0.04317750409245491	-0.27302206	Yes	
row_9	RPS6KB1	Rps6kb1	1254	-0.05063541233539581	-0.239779	Yes	
row_10	PIK3CA	Pik3ca	1261	-0.051068015396595	-0.16530704	Yes	
row_11	JUN	Jun	1350	-0.06111736223101616	-0.120489046	Yes	
row_12	CAMK2D	Camk2d	1438	-0.06969250738620758	-0.0620654	Yes	
row_13	PRKCA	Prkca	1504	-0.07997304946184158	0.024073858	Yes	
row_14	MAPK8	Mapk8	1655	-0.10408588498830795	0.10032892	Yes	
