NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SH2D1A	Sh2d1a	11	0.2586610019207001	0.07345878	Yes	
row_1	HCST	Hcst	33	0.1943213939666748	0.12158541	Yes	
row_2	KLRD1	Klrd1	44	0.17951525747776031	0.17125566	Yes	
row_3	FYN	Fyn	66	0.15701131522655487	0.20790683	Yes	
row_4	PTPN6	Ptpn6	67	0.15403304994106293	0.25528276	Yes	
row_5	PRF1	Prf1	97	0.10999298095703125	0.2730379	Yes	
row_6	IFNGR1	Ifngr1	114	0.09409677982330322	0.29311007	Yes	
row_7	FAS	Fas	130	0.0865669772028923	0.31142062	Yes	
row_8	RAC2	Rac2	145	0.08114214986562729	0.32861695	Yes	
row_9	PPP3CC	Ppp3cc	157	0.07684438675642014	0.34615442	Yes	
row_10	KRAS	Kras	172	0.0724053829908371	0.3606636	Yes	
row_11	KLRC1	Klrc1	180	0.06984464824199677	0.37826544	Yes	
row_12	KLRK1	Klrk1	239	0.05150618404150009	0.36195642	No	
row_13	PPP3CA	Ppp3ca	294	0.04054020717740059	0.3444919	No	
row_14	ITGAL	Itgal	340	0.034140244126319885	0.33004785	No	
row_15	FASLG	Fasl	347	0.03288247436285019	0.33683556	No	
row_16	PIK3R5	Pik3r5	602	0.003621370531618595	0.19715115	No	
row_17	FCER1G	Fcer1g	682	-0.0033066733740270138	0.15437663	No	
row_18	BRAF	Braf	756	-0.008765134960412979	0.11660688	No	
row_19	ITGB2	Itgb2	1105	-0.03668106719851494	-0.06501578	No	
row_20	TYROBP	Tyrobp	1136	-0.03936723619699478	-0.06953731	No	
row_21	NFATC1	Nfatc1	1229	-0.04832750931382179	-0.10567101	No	
row_22	PIK3CA	Pik3ca	1261	-0.051068015396595	-0.10714806	No	
row_23	CD48	Cd48	1269	-0.05186784267425537	-0.09507534	No	
row_24	ICAM1	Icam1	1501	-0.07978678494691849	-0.1985841	No	
row_25	PRKCA	Prkca	1504	-0.07997304946184158	-0.17509544	No	
row_26	NFAT5	Nfat5	1520	-0.08211063593626022	-0.15815555	No	
row_27	TNF	Tnf	1589	-0.09243222326040268	-0.16742018	No	
row_28	LAT	Lat	1593	-0.09303821623325348	-0.14046739	No	
row_29	GZMB	Gzmb	1629	-0.09919799119234085	-0.12935841	No	
row_30	CASP3	Casp3	1639	-0.10065294802188873	-0.103389494	No	
row_31	ULBP1	Ulbp1	1730	-0.12853142619132996	-0.11374623	No	
row_32	IFNGR2	Ifngr2	1795	-0.1668056696653366	-0.09791854	No	
row_33	HLA-A	H2-D1	1813	-0.18797819316387177	-0.049525607	No	
row_34	HLA-E	H2-T23	1824	-0.204276442527771	0.007760449	No	
