NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACTG1	Actg1	10	0.2691012918949127	0.08201337	Yes	
row_1	PFN1	Pfn1	16	0.23905713856220245	0.15702538	Yes	
row_2	TMSB4Y	Tmsb4x	23	0.2090967744588852	0.22173366	Yes	
row_3	ACTB	Actb	41	0.18240998685359955	0.271654	Yes	
row_4	ARPC5	Arpc5	49	0.17332503199577332	0.32416758	Yes	
row_5	CFL1	Cfl1	125	0.08953812718391418	0.31168193	Yes	
row_6	ABI2	Abi2	131	0.08653464913368225	0.3370647	Yes	
row_7	IQGAP2	Iqgap2	133	0.0856812372803688	0.36438957	Yes	
row_8	RAC2	Rac2	145	0.08114214986562729	0.38468805	Yes	
row_9	ITGB1	Itgb1	154	0.077346071600914	0.40541613	Yes	
row_10	KRAS	Kras	172	0.0724053829908371	0.41954213	Yes	
row_11	APC	Apc	191	0.06486698240041733	0.43066028	Yes	
row_12	ROCK1	Rock1	244	0.04972748085856438	0.41798425	Yes	
row_13	MYLPF	Mylpf	248	0.04817795008420944	0.43199605	Yes	
row_14	ITGAL	Itgal	340	0.034140244126319885	0.39260548	No	
row_15	SSH2	Ssh2	372	0.029491595923900604	0.38499862	No	
row_16	ARHGEF12	Arhgef12	479	0.01621590182185173	0.33145157	No	
row_17	ITGA2	Itga2	553	0.007982445880770683	0.29353842	No	
row_18	PPP1R12A	Ppp1r12a	580	0.005385964643210173	0.28086257	No	
row_19	ITGAE	Itgae	585	0.00487191928550601	0.28022808	No	
row_20	PIK3R5	Pik3r5	602	0.003621370531618595	0.2725274	No	
row_21	GSN	Gsn	603	0.0035862945951521397	0.27369434	No	
row_22	BRAF	Braf	756	-0.008765134960412979	0.19219571	No	
row_23	MYH9	Myh9	871	-0.01904963329434395	0.13513122	No	
row_24	EGF	Egf	1076	-0.03367144986987114	0.03288001	No	
row_25	ITGB2	Itgb2	1105	-0.03668106719851494	0.029277353	No	
row_26	ITGA6	Itga6	1113	-0.0375295951962471	0.03760452	No	
row_27	DIAPH2	Diaph2	1175	-0.04342934116721153	0.017884698	No	
row_28	IQGAP1	Iqgap1	1179	-0.043699927628040314	0.03043938	No	
row_29	PIK3CA	Pik3ca	1261	-0.051068015396595	0.0021063245	No	
row_30	CYFIP1	Cyfip1	1295	-0.05528529733419418	0.0017825975	No	
row_31	ITGA1	Itga1	1500	-0.07941204309463501	-0.0855851	No	
row_32	ROCK2	Rock2	1530	-0.08357544988393784	-0.07448375	No	
row_33	ACTN1	Actn1	1653	-0.10324325412511826	-0.108592026	No	
row_34	ACTN2	Actn2	1757	-0.14018596708774567	-0.12013569	No	
row_35	ITGA4	Itga4	1831	-0.2216857671737671	-0.08851199	No	
row_36	ITGB7	Itgb7	1838	-0.2822507321834564	-1.6961712E-7	No	
