NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCL4	Ccl4	34	0.19268809258937836	0.13235614	No	
row_1	LY96	Ly96	163	0.07489465922117233	0.12080145	No	
row_2	CCL3	Ccl3	536	0.009737765416502953	-0.07573794	No	
row_3	TLR6	Tlr6	575	0.005823581479489803	-0.09202998	No	
row_4	PIK3R5	Pik3r5	602	0.003621370531618595	-0.10346181	No	
row_5	TLR7	Tlr7	992	-0.02690219134092331	-0.2958792	No	
row_6	FOS	Fos	1047	-0.0315246619284153	-0.3008099	No	
row_7	TIRAP	Tirap	1196	-0.04530073702335358	-0.3465354	Yes	
row_8	PIK3CA	Pik3ca	1261	-0.051068015396595	-0.3416377	Yes	
row_9	IRF7	Irf7	1343	-0.060020748525857925	-0.3390538	Yes	
row_10	JUN	Jun	1350	-0.06111736223101616	-0.2944469	Yes	
row_11	NFKBIA	Nfkbia	1536	-0.08494466543197632	-0.32940933	Yes	
row_12	CD86	Cd86	1584	-0.09107993543148041	-0.28382236	Yes	
row_13	TNF	Tnf	1589	-0.09243222326040268	-0.21357512	Yes	
row_14	MAPK8	Mapk8	1655	-0.10408588498830795	-0.16767415	Yes	
row_15	STAT1	Stat1	1786	-0.15820293128490448	-0.11503469	Yes	
row_16	CCL5	Ccl5	1808	-0.18249179422855377	0.016465236	Yes	
